Instance,Partition Time,Fold Time,Unfold Time,Total Time,Objective
cod103.mps,0.026170,0.009175,0.651423,0.686768,-93.090909
cod105.mps,0.032666,0.008719,0.526602,0.567987,-18.285714
cod733.mps,0.111914,0.018090,2.257174,2.387178,-145.800000
cod83.mps,0.003994,0.001668,0.013793,0.019456,-28.444444
cod93.mps,0.008414,0.002850,0.051982,0.063245,-51.200000
codbt011.mps,0.000018,0.000042,0.000747,0.000808,1.000000
codbt012.mps,0.000054,0.000076,0.001407,0.001537,3.000000
codbt013.mps,0.000016,0.000019,0.000492,0.000527,3.000000
codbt021.mps,0.000080,0.000080,0.001712,0.001872,1.800000
codbt022.mps,0.000078,0.000079,0.001756,0.001913,1.800000
codbt023.mps,0.000057,0.000065,0.001432,0.001554,9.000000
codbt031.mps,0.000070,0.000068,0.000911,0.001049,3.857143
codbt032.mps,0.000228,0.000166,0.002457,0.002851,2.076923
codbt033.mps,0.000116,0.000098,0.001348,0.001562,3.000000
codbt03.mps,0.000084,0.000079,0.001090,0.001253,3.857143
codbt041.mps,0.000718,0.000371,0.004386,0.005476,9.000000
codbt042.mps,0.000851,0.000442,0.004278,0.005571,3.240000
codbt043.mps,0.000741,0.000396,0.004640,0.005776,2.454545
codbt04.mps,0.000525,0.000334,0.003238,0.004097,9.000000
codbt051.mps,0.002570,0.000766,0.014677,0.018014,22.090909
codbt052.mps,0.002409,0.001141,0.028904,0.032453,5.926829
codbt053.mps,0.003584,0.001320,0.024959,0.029863,3.000000
codbt05.mps,0.002646,0.000746,0.014575,0.017968,22.090909
codbt061.mps,0.012795,0.004141,0.468037,0.484973,56.076923
codbt062.mps,0.033187,0.013649,0.814343,0.861179,11.950820
codbt063.mps,0.030218,0.010500,1.079504,1.120222,4.527950
codbt06.mps,0.014050,0.002261,0.188863,0.205174,56.076923
codbt071.mps,0.110894,0.017446,2.524512,2.652852,145.800000
codbt072.mps,0.135399,0.020624,12.589581,12.745604,25.729412
codbt073.mps,0.209452,0.053300,21.836468,22.099220,7.782918
codbt111.mps,0.000068,0.000096,0.002067,0.002230,1.500000
codbt112.mps,0.000056,0.000060,0.001303,0.001419,2.000000
codbt113.mps,0.000023,0.000039,0.000944,0.001006,6.000000
codbt121.mps,0.000146,0.000126,0.001972,0.002244,3.000000
codbt122.mps,0.000126,0.000111,0.001901,0.002137,2.000000
codbt123.mps,0.000046,0.000043,0.000710,0.000799,3.600000
codbt131.mps,0.000408,0.000282,0.003274,0.003964,6.750000
codbt132.mps,0.000363,0.000210,0.002553,0.003126,2.842105
codbt133.mps,0.000281,0.000157,0.001792,0.002230,2.571429
codbt141.mps,0.001971,0.000626,0.009860,0.012456,16.200000
codbt142.mps,0.001133,0.000585,0.010220,0.011937,4.909091
codbt143.mps,0.001566,0.000669,0.012712,0.014947,2.842105
codbt151.mps,0.006336,0.001673,0.063462,0.071472,40.500000
codbt152.mps,0.008970,0.007007,0.421860,0.437836,9.529412
codbt153.mps,0.013666,0.008844,0.540627,0.563137,4.016529
codbt15.mps,0.005767,0.001647,0.063935,0.071349,40.500000
codbt161.mps,0.050552,0.009566,1.061319,1.121437,104.142857
codbt162.mps,0.063356,0.009923,3.262705,3.335984,19.972603
codbt163.mps,0.152471,0.039007,5.877061,6.068539,6.597285
codbt171.mps,0.423643,0.049362,31.797473,32.270477,273.375000
codbt172.mps,0.473623,0.044352,94.937003,95.454978,44.181818
codbt173.mps,0.714139,0.180794,172.660501,173.555434,11.983562
codbt211.mps,0.000106,0.000140,0.002513,0.002760,2.400000
codbt212.mps,0.000093,0.000231,0.004101,0.004425,2.000000
codbt213.mps,0.000096,0.000103,0.001994,0.002192,4.000000
codbt221.mps,0.000121,0.000080,0.000961,0.001161,5.142857
codbt222.mps,0.000376,0.000242,0.003183,0.003801,2.571429
codbt223.mps,0.000361,0.000270,0.002975,0.003606,2.769231
codbt231.mps,0.000444,0.000312,0.003264,0.004019,12.000000
codbt232.mps,0.000648,0.000375,0.004943,0.005966,4.153846
codbt233.mps,0.000943,0.000405,0.004888,0.006236,2.769231
codbt241.mps,0.003275,0.001181,0.024076,0.028532,29.454545
codbt242.mps,0.004119,0.001715,0.075966,0.081799,7.714286
codbt243.mps,0.005330,0.001898,0.079712,0.086941,3.640449
codbt251.mps,0.023245,0.004389,0.728501,0.756135,74.769231
codbt252.mps,0.030885,0.006592,0.943507,0.980984,15.677419
codbt253.mps,0.117454,0.017117,1.698419,1.832990,5.684211
codbt311.mps,0.000186,0.000194,0.002845,0.003225,4.000000
codbt312.mps,0.000210,0.000217,0.003170,0.003597,2.400000
codbt313.mps,0.000189,0.000177,0.002488,0.002854,3.000000
codbt321.mps,0.000352,0.000296,0.002852,0.003500,9.000000
codbt322.mps,0.000352,0.000249,0.002615,0.003216,3.600000
codbt323.mps,0.000569,0.000340,0.003762,0.004671,2.769231
codbt331.mps,0.002171,0.000933,0.013145,0.016248,21.600000
codbt332.mps,0.001664,0.000701,0.018820,0.021185,6.352941
codbt333.mps,0.002782,0.000928,0.024522,0.028233,3.375000
codbt341.mps,0.011298,0.002811,0.112852,0.126961,54.000000
codbt342.mps,0.014098,0.005844,0.614393,0.634336,12.461538
codbt343.mps,0.021468,0.006573,0.536604,0.564645,4.984615
codbt411.mps,0.000449,0.000384,0.004069,0.004903,6.857143
codbt412.mps,0.000364,0.000190,0.001946,0.002500,3.200000
codbt421.mps,0.000999,0.000391,0.006690,0.008079,16.000000
codbt422.mps,0.001544,0.000632,0.006567,0.008744,5.333333
codbt431.mps,0.005034,0.001211,0.047986,0.054232,39.272727
codbt432.mps,0.005640,0.002251,0.090151,0.098042,10.046512
codbt441.mps,0.051106,0.018960,1.199467,1.269533,99.692308
codbt442.mps,0.050420,0.015617,2.286501,2.352538,20.571429
codbt451.mps,0.354575,0.068164,26.226959,26.649698,259.200000
codbt452.mps,0.394228,0.085480,92.292904,92.772612,44.689655
codbt453.mps,0.507779,0.140164,96.157731,96.805674,12.747541
codbt511.mps,0.001012,0.000723,0.004946,0.006680,12.000000
codbt512.mps,0.001235,0.000523,0.003844,0.005602,4.571429
codbt521.mps,0.004700,0.000927,0.017278,0.022904,28.800000
codbt522.mps,0.002750,0.001381,0.036474,0.040605,8.228571
codbt531.mps,0.018923,0.007017,0.559445,0.585385,72.000000
codbt532.mps,0.023305,0.006345,0.603982,0.633632,16.301887
codbt611.mps,0.002547,0.000960,0.008571,0.012077,21.333333
codbt612.mps,0.001615,0.000889,0.011739,0.014243,6.857143
codbt621.mps,0.008119,0.002746,0.088816,0.099681,52.363636
codbt622.mps,0.011601,0.003759,0.357157,0.372518,13.090909
codbt631.mps,0.070035,0.013602,2.071685,2.155323,132.923077
codbt632.mps,0.204245,0.031152,5.873401,6.108798,27.000000
codbt711.mps,0.004177,0.002724,0.030714,0.037614,38.400000
codbt712.mps,0.005307,0.002229,0.057492,0.065028,10.666667
codbt721.mps,0.030953,0.008479,0.528488,0.567920,96.000000
codbt722.mps,0.040246,0.010159,1.262221,1.312626,21.333333
codbt731.mps,0.552237,0.056500,15.280880,15.889616,246.857143
codbt732.mps,0.497769,0.041987,36.075274,36.615030,45.473684
codbt811.mps,0.015537,0.005630,0.180685,0.201853,69.818182
codbt812.mps,0.019480,0.005883,0.454401,0.479765,17.066667
codbt821.mps,0.116355,0.024583,4.333308,4.474245,177.230769
codbt822.mps,0.136794,0.030316,11.616501,11.783611,35.446154
codbt901.mps,0.006927,0.002224,0.052415,0.061566,51.200000
codbt902.mps,0.008606,0.007009,0.191584,0.207199,13.837838
codbt911.mps,0.055300,0.019665,1.795872,1.870837,128.000000
codbt912.mps,0.066380,0.020767,3.702712,3.789859,27.927273
cov1052.mps,0.001321,0.000620,0.005041,0.006982,4.500000
cov1053.mps,0.001113,0.000654,0.009082,0.010848,12.000000
cov1054.mps,0.001178,0.000637,0.008363,0.010178,42.000000
cov1063.mps,0.002193,0.000758,0.009666,0.012618,6.000000
cov1064.mps,0.001163,0.000500,0.010686,0.012349,14.000000
cov1065.mps,0.003128,0.001249,0.008844,0.013221,42.000000
cov1074.mps,0.002534,0.000756,0.006870,0.010160,6.000000
cov1075.mps,0.002395,0.001159,0.006875,0.010429,12.000000
cov1076.mps,0.001252,0.000708,0.003338,0.005299,30.000000
cov1163.mps,0.004569,0.001792,0.028563,0.034923,8.250000
cov1164.mps,0.003821,0.001060,0.067557,0.072438,22.000000
cov1165.mps,0.004766,0.001998,0.023715,0.030479,77.000000
cov1174.mps,0.003282,0.002758,0.071613,0.077653,9.428571
cov1175.mps,0.003525,0.001832,0.021190,0.026547,22.000000
cov1176.mps,0.003718,0.001558,0.010293,0.015570,66.000000
cov1185.mps,0.002767,0.001557,0.012190,0.016515,8.250000
cov1186.mps,0.004758,0.002232,0.007165,0.014155,16.500000
cov1187.mps,0.002787,0.001468,0.005908,0.010164,41.250000
cov1274.mps,0.012805,0.004938,0.199382,0.217124,14.142857
cov1275.mps,0.030137,0.009208,0.508723,0.548068,37.714286
cov1276.mps,0.017722,0.005012,0.087192,0.109926,132.000000
cov1285.mps,0.013875,0.004883,0.103445,0.122204,14.142857
cov1286.mps,0.013799,0.004324,0.057995,0.076118,33.000000
cov1287.mps,0.009153,0.003452,0.023589,0.036194,99.000000
cov1296.mps,0.024812,0.008819,0.063665,0.097296,11.000000
cov1297.mps,0.005680,0.002893,0.013420,0.021992,22.000000
cov1298.mps,0.003850,0.001592,0.006289,0.011731,55.000000
cov13107.mps,0.027098,0.007177,0.043668,0.077944,14.300000
cov13108.mps,0.014995,0.005268,0.021949,0.042212,28.600000
cov13109.mps,0.006981,0.002684,0.008573,0.018237,71.500000
cov1385.mps,0.061375,0.028824,1.353431,1.443630,22.982143
cov1386.mps,0.055471,0.012636,0.582193,0.650300,61.285714
cov1387.mps,0.051900,0.008633,0.360980,0.421513,214.500000
cov1396.mps,0.042390,0.012039,0.282431,0.336861,20.428571
cov1397.mps,0.065709,0.025243,0.424523,0.515475,47.666667
cov1398.mps,0.024130,0.007267,0.046873,0.078270,143.000000
cov14107.mps,0.127121,0.027478,0.837243,0.991842,28.600000
cov14108.mps,0.092763,0.020021,0.589840,0.702624,66.733333
cov14109.mps,0.106457,0.032944,0.178199,0.317600,200.200000
cov141110.mps,0.011604,0.004864,0.012118,0.028585,91.000000
cov14118.mps,0.072211,0.032154,0.206223,0.310587,18.200000
cov14119.mps,0.033545,0.009314,0.033692,0.076551,36.400000
cov1496.mps,0.360234,0.061406,7.424317,7.845957,35.750000
cov1497.mps,0.268772,0.049908,2.304897,2.623578,95.333333
cov1498.mps,0.140660,0.024855,0.683576,0.849091,333.666667
cov15107.mps,0.503142,0.067571,18.828716,19.399429,53.625000
cov15108.mps,0.465154,0.081831,14.955579,15.502564,143.000000
cov15109.mps,0.309480,0.066638,1.788751,2.164869,500.500000
cov151110.mps,0.108696,0.059199,0.324242,0.492137,273.000000
cov15118.mps,0.525576,0.061670,1.669656,2.256903,39.000000
cov15119.mps,0.215044,0.041132,0.593185,0.849361,91.000000
cov151210.mps,0.072159,0.033817,0.133130,0.239106,45.500000
cov151211.mps,0.020043,0.006977,0.014373,0.041392,113.750000
cov15129.mps,0.165183,0.055426,0.304847,0.525455,22.750000
cov161110.mps,1.067412,0.083937,8.915868,10.067217,728.000000
cov16118.mps,1.741757,0.238940,86.824748,88.805445,78.000000
cov16119.mps,1.026708,0.190531,39.200107,40.417345,208.000000
cov161210.mps,0.771773,0.082178,1.296566,2.150517,121.333333
cov161211.mps,0.200066,0.041112,0.241987,0.483166,364.000000
cov16129.mps,0.902584,0.131586,4.012560,5.046730,52.000000
cov161310.mps,0.454325,0.047603,0.182321,0.684249,28.000000
cov161311.mps,0.141569,0.061999,0.212867,0.416435,56.000000
cov161312.mps,0.033348,0.010463,0.018363,0.062174,140.000000
cov171210.mps,2.480974,0.433360,84.079119,86.993452,294.666667
cov171211.mps,2.034252,0.251719,32.793485,35.079456,1031.333333
cov17129.mps,3.159878,0.630712,397.469475,401.260065,110.500000
cov171310.mps,2.196553,0.300995,10.597322,13.094870,68.000000
cov171311.mps,1.241547,0.150701,2.469582,3.861830,158.666667
cov171312.mps,0.684487,0.081915,0.401785,1.168187,476.000000
cov171411.mps,0.921306,0.083996,0.330060,1.335361,34.000000
cov171412.mps,0.300139,0.108627,0.320183,0.728949,68.000000
cov171413.mps,0.054249,0.015491,0.026502,0.096242,170.000000
