Instance,Solve,Highs run
cod103,1.38883,1.38896
cod105,5.24132,5.24170
cod733,30.35261,30.35295
cod83,0.02478,0.02485
cod93,0.23480,0.23488
codbt111,0.00034,0.00038
codbt112,0.00026,0.00030
codbt113,0.00030,0.00039
codbt114,0.00027,0.00033
codbt121,0.00039,0.00048
codbt122,0.00035,0.00040
codbt123,0.00038,0.00056
codbt124,0.00030,0.00035
codbt131,0.00097,0.00104
codbt132,0.00112,0.00119
codbt133,0.00103,0.00109
codbt134,0.00096,0.00101
codbt141,0.00584,0.00592
codbt142,0.01192,0.01202
codbt143,0.01831,0.01842
codbt144,0.01205,0.01213
codbt151,0.20297,0.20304
codbt152,0.36430,0.36809
codbt153,0.52223,0.52260
codbt154,0.59674,0.59733
codbt161,22.87630,22.87649
codbt162,37.65160,37.65228
codbt163,77.56216,77.56500
codbt164,82.16992,82.17309
codbt171,3601.87217,3601.87268
codbt172,3611.58206,3611.58421
codbt173,3607.37576,3607.38258
codbt174,3615.73232,3615.74921
codbt211,0.00043,0.00049
codbt212,0.00026,0.00035
codbt221,0.00059,0.00068
codbt222,0.00060,0.00070
codbt231,0.00313,0.00323
codbt232,0.00513,0.00524
codbt241,0.06069,0.06075
codbt242,0.11666,0.11679
codbt251,3.16438,3.16458
codbt252,6.50571,6.50629
codbt261,464.02517,464.02557
codbt262,2601.94132,2601.94282
codbt341,0.58827,0.58838
codbt342,1.07152,1.07175
codbt451,3603.75044,3603.75083
codbt452,3626.21537,3626.21691
codbt453,3620.45180,3620.45789
codbt511,0.00248,0.00255
codbt512,0.00201,0.00210
codbt521,0.03304,0.03311
codbt522,0.06616,0.06627
codbt531,1.81590,1.81604
codbt532,7.21778,7.21813
codbt711,0.07830,0.07837
codbt712,0.18057,0.18075
codbt721,4.48027,4.48047
codbt722,9.36912,9.36953
codbt731,411.99285,411.99325
codbt732,2304.69401,2304.69563
codbt811,0.53769,0.53784
codbt812,1.60844,1.60871
codbt821,363.47794,363.47821
codbt822,236.30900,236.30994
codbt831,3626.37965,3626.38038
codbt832,3645.83484,3645.83777
cov1052,0.00252,0.00262
cov1053,0.00950,0.00957
cov1054,0.04473,0.04479
cov1063,0.01223,0.01234
cov1064,0.01240,0.01244
cov1065,0.02905,0.02909
cov1074,0.00645,0.00652
cov1075,0.00526,0.00531
cov1076,0.00309,0.00315
cov1163,0.03640,0.03652
cov1164,0.11185,0.11194
cov1165,0.25988,0.25995
cov1174,0.05264,0.05281
cov1175,0.06417,0.06423
cov1176,0.02418,0.02424
cov1185,0.01513,0.01523
cov1186,0.01154,0.01161
cov1187,0.00580,0.00591
cov1274,0.94323,0.94349
cov1275,0.98007,0.98026
cov1276,0.57999,0.58008
cov1285,0.43849,0.43873
cov1286,0.24693,0.24712
cov1287,0.07912,0.07919
cov1296,0.03734,0.03759
cov1297,0.02918,0.02931
cov1298,0.00968,0.00971
cov13107,0.09079,0.09112
cov13108,0.05572,0.05589
cov13109,0.01911,0.01920
cov1385,12.41975,12.42021
cov1386,6.71257,6.71286
cov1387,1.49908,1.49921
cov1396,1.15990,1.16031
cov1397,0.70414,0.70446
cov1398,0.19748,0.19759
cov14107,3.94901,3.94991
cov14108,2.47577,2.47613
cov14109,0.59877,0.59891
cov141110,0.02745,0.02754
cov14118,0.18724,0.18767
cov14119,0.11311,0.11336
cov1496,114.53559,114.53657
cov1497,49.66199,49.66250
cov1498,6.81383,6.81404
cov15107,967.88208,967.88425
cov15108,282.21253,282.21361
cov15109,28.45852,28.45880
cov151110,1.43404,1.43429
cov15118,13.36584,13.36720
cov15119,6.51796,6.51847
cov151210,0.21992,0.22022
cov151211,0.05463,0.05472
cov15129,0.48141,0.48212
cov161110,114.61387,114.61434
cov16118,3604.33879,3604.34238
cov16119,1451.97998,1451.98148
cov161210,23.77971,23.78053
cov161211,3.58642,3.58674
cov16129,40.89189,40.89393
cov161310,0.93724,0.93827
cov161311,0.44262,0.44297
cov161312,0.08575,0.08584
cov171210,3632.91186,3632.91414
cov171211,444.55644,444.55711
cov17129,3632.81674,3632.82366
cov171310,151.74093,151.74402
cov171311,129.75398,129.75552
cov171312,8.97836,8.97866
cov171411,1.72049,1.72215
cov171412,0.77898,0.77951
cov171413,0.14984,0.14996
sts243,0.05929,0.05960
sts45,0.00126,0.00132
sts63,0.00177,0.00183
sts729,2.15832,2.16357
sts81,0.00296,0.00305
