Instance,Solve,Highs run
30_70_45_095_100,20.86283,20.86343
ash608gpia-3col,1.29807,1.29884
core2536-691,3.96337,3.96725
core4872-1529,24.37372,24.37582
ex1010-pi,16.58698,16.58814
ex9,30.32788,30.33212
neos-1601936,0.88662,0.89066
neos-476283,1.13298,1.15154
neos-738098,3.74912,3.75040
neos-932816,2.30910,2.31285
neos-935627,6.42647,6.42685
neos-935769,3.36824,3.36870
neos-937511,4.45014,4.45059
neos-937815,7.41156,7.41226
neos-941262,10.78959,10.79336
neos-948126,10.21881,10.21925
neos-984165,14.23844,14.23885
ns1856153,1.13210,1.13564
ns894236,6.96106,6.96156
queens-30,3.40308,3.40363
ramos3,29.15055,29.15081
t1717,26.66808,26.67099
t1722,4.18781,4.19276
