Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.00264,0.00001,0.04821,0.04845
cod105,0.00799,0.49640,0.71498,0.71549
cod733,0.00783,1.66179,2.11607,2.11663
cod83,0.00115,0.00001,0.00580,0.00589
cod93,0.00231,0.01475,0.02836,0.02857
codbt111,0.00045,0.00000,0.00196,0.00205
codbt112,0.00034,0.00001,0.00110,0.00113
codbt113,0.00022,0.00002,0.00082,0.00088
codbt114,0.00017,0.00002,0.00112,0.00119
codbt121,0.00040,0.00003,0.00158,0.00175
codbt122,0.00042,0.00004,0.00150,0.00159
codbt123,0.00035,0.00004,0.00128,0.00136
codbt124,0.00022,0.00005,0.00117,0.00126
codbt131,0.00040,0.00015,0.00188,0.00214
codbt132,0.00036,0.00000,0.00163,0.00173
codbt133,0.00041,0.00015,0.00195,0.00205
codbt134,0.00024,0.00007,0.00113,0.00123
codbt141,0.00082,0.00000,0.00409,0.00420
codbt142,0.00131,0.00170,0.01089,0.01122
codbt143,0.00141,0.00182,0.01185,0.01200
codbt144,0.00135,0.00000,0.00949,0.00961
codbt151,0.00153,0.01172,0.03132,0.03150
codbt152,0.00306,0.00001,0.06889,0.06927
codbt153,0.00725,0.00000,0.11097,0.11165
codbt154,0.00949,0.00000,0.14441,0.14557
codbt161,0.00315,0.52921,0.80220,0.80260
codbt162,0.01274,0.00001,1.15442,1.15553
codbt163,0.02947,0.00001,2.28573,2.28801
codbt164,0.05086,0.00005,3.23357,3.23785
codbt171,0.01120,0.00003,7.14650,7.14738
codbt172,0.04742,143.15496,186.76337,186.76639
codbt173,0.14220,0.00003,55.22153,55.22886
codbt174,0.33346,0.00003,85.51420,85.53265
codbt181,0.02598,1848.80315,2233.18098,2233.18269
cod103,0.00178,0.00001,0.04347,0.04370
cod105,0.00622,0.51024,0.71676,0.71714
cod733,0.00438,1.46825,1.88495,1.88533
cod83,0.00081,0.00000,0.00365,0.00376
cod93,0.00120,0.01330,0.02261,0.02272
codbt111,0.00023,0.00000,0.00097,0.00103
codbt112,0.00023,0.00001,0.00094,0.00101
codbt113,0.00018,0.00002,0.00096,0.00102
codbt114,0.00016,0.00002,0.00092,0.00099
codbt121,0.00019,0.00002,0.00087,0.00094
codbt122,0.00019,0.00003,0.00094,0.00099
codbt123,0.00024,0.00003,0.00105,0.00112
codbt124,0.00014,0.00003,0.00083,0.00090
codbt131,0.00030,0.00011,0.00133,0.00142
codbt132,0.00035,0.00000,0.00153,0.00160
codbt133,0.00036,0.00011,0.00168,0.00178
codbt134,0.00024,0.00007,0.00123,0.00130
codbt141,0.00040,0.00000,0.00220,0.00227
codbt142,0.00084,0.00104,0.00689,0.00701
codbt143,0.00110,0.00133,0.00912,0.00928
codbt144,0.00095,0.00000,0.00782,0.00791
codbt151,0.00094,0.00974,0.02367,0.02374
codbt152,0.00298,0.00001,0.05705,0.05724
codbt153,0.00509,0.00001,0.09525,0.09567
codbt154,0.00666,0.00001,0.11098,0.11149
codbt161,0.00288,0.51848,0.76692,0.76712
codbt162,0.00913,0.00001,0.88200,0.88322
codbt163,0.02603,0.00001,2.06165,2.06361
codbt164,0.04857,0.00001,2.87070,2.87530
codbt171,0.00912,0.00003,5.49970,5.50193
codbt172,0.03741,145.12257,186.63002,186.63234
codbt173,0.13930,0.00003,56.09052,56.09997
codbt174,0.32834,0.00003,82.44118,82.45867
codbt211,0.00020,0.00003,0.00083,0.00092
codbt212,0.00021,0.00004,0.00091,0.00101
codbt221,0.00022,0.00004,0.00104,0.00112
codbt222,0.00026,0.00000,0.00114,0.00120
codbt231,0.00033,0.00012,0.00167,0.00174
codbt232,0.00059,0.00035,0.00388,0.00401
codbt241,0.00068,0.00359,0.00999,0.01010
