Instance,IPM solve,Crossover,Solve,Highs run
30_70_45_095_100,0.43198,1.00436,1.45550,1.45609
ash608gpia-3col,0.02543,0.31875,0.35634,0.35729
core2536-691,1.12973,0.04910,1.19520,1.19675
core4872-1529,3.44234,0.06851,3.57276,3.57439
ex1010-pi,0.56192,0.00084,0.57979,0.58098
ex9,3.22967,5.87956,9.15297,9.15708
neos-1601936,0.50067,0.09682,0.60586,0.60639
neos-476283,25.83359,0.35599,27.15803,27.17808
neos-738098,1.09771,0.72713,1.84655,1.84760
neos-932816,5.15560,1.49519,6.80481,6.80794
neos-935627,0.56551,0.28512,0.86327,0.86368
neos-935769,0.42561,0.32749,0.76393,0.76441
neos-937511,0.48632,0.42771,0.92605,0.92650
neos-937815,0.74803,0.38753,1.15664,1.15733
neos-941262,0.58852,0.32357,0.92372,0.92417
neos-948126,0.65553,0.33432,1.00590,1.00635
neos-984165,0.78623,0.32481,1.12423,1.12471
ns1856153,0.78625,0.03127,0.83980,0.84105
ns894236,0.83730,0.01333,0.87392,0.87442
queens-30,0.58808,0.02758,1.12631,1.12693
ramos3,0.00422,1.83991,2.45874,2.45903
t1717,3.92676,0.01212,4.13735,4.14000
t1722,1.00130,0.00164,1.03679,1.03852
