Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.00,0.00,0.00,0.02
cod105,0.00,0.00,0.00,0.03
cod733,0.00,0.00,0.00,0.02
cod83,0.00,0.00,0.00,0.01
cod93,0.00,0.00,0.00,0.01
codbt211,0.00,0.00,0.00,0.01
codbt212,0.00,0.00,0.00,0.01
codbt221,0.00,0.00,0.00,0.00
codbt222,0.00,0.00,0.00,0.01
codbt231,0.00,0.00,0.00,0.01
codbt232,0.00,0.00,0.00,0.01
codbt241,0.00,0.00,0.00,0.01
codbt242,0.00,0.00,0.00,0.01
codbt251,0.00,0.00,0.00,0.02
codbt252,0.00,0.00,0.00,1.32
codbt261,0.00,0.00,0.00,0.03
codbt262,0.00,0.00,0.00,0.14
codbt341,0.00,0.00,0.00,0.01
codbt342,0.00,0.00,0.00,0.65
codbt451,0.00,0.00,0.00,0.05
codbt452,0.00,0.00,0.00,0.18
codbt453,0.00,0.00,0.00,257.41
codbt511,0.00,0.00,0.00,0.01
codbt512,0.00,0.00,0.00,0.01
codbt521,0.00,0.00,0.00,0.01
codbt522,0.00,0.00,0.00,0.01
codbt531,0.00,0.00,0.00,0.01
codbt532,0.00,0.00,0.00,0.90
codbt711,0.00,0.00,0.00,0.01
codbt712,0.00,0.00,0.00,0.09
codbt721,0.00,0.00,0.00,0.02
codbt722,0.00,0.00,0.00,0.04
codbt731,0.00,0.00,0.00,0.04
codbt732,0.00,0.00,0.00,0.13
codbt811,0.00,0.00,0.00,0.01
codbt812,0.00,0.00,0.00,0.67
codbt821,0.00,0.00,0.00,0.03
codbt822,0.00,0.00,0.00,0.08
codbt831,0.00,0.00,0.00,0.09
codbt832,0.00,0.00,0.00,0.34
cov1052,0.00,0.00,0.00,0.01
cov1053,0.00,0.00,0.00,0.01
cov1054,0.00,0.00,0.00,0.01
cov1063,0.00,0.00,0.00,0.01
cov1064,0.00,0.00,0.00,0.02
cov1065,0.00,0.00,0.00,0.01
cov1074,0.00,0.00,0.00,0.01
cov1075,0.00,0.00,0.00,0.01
cov1076,0.00,0.00,0.00,0.01
cov1163,0.00,0.00,0.00,0.01
cov1164,0.00,0.00,0.00,0.01
cov1165,0.00,0.00,0.00,0.01
cov1174,0.00,0.00,0.00,0.01
cov1175,0.00,0.00,0.00,0.01
cov1176,0.00,0.00,0.00,0.01
cov1185,0.00,0.00,0.00,0.02
cov1186,0.00,0.00,0.00,0.01
cov1187,0.00,0.00,0.00,0.01
cov1274,0.00,0.00,0.00,0.24
cov1275,0.00,0.00,0.00,0.02
cov1276,0.00,0.00,0.00,0.01
cov1285,0.00,0.00,0.00,0.16
cov1286,0.00,0.00,0.00,0.01
cov1287,0.00,0.00,0.00,0.01
cov1296,0.00,0.00,0.00,0.03
cov1297,0.00,0.00,0.00,0.02
cov1298,0.00,0.00,0.00,0.01
cov13107,0.00,0.00,0.00,0.04
cov13108,0.00,0.00,0.00,0.02
cov13109,0.00,0.00,0.00,0.01
cov1385,0.00,0.00,0.00,0.04
cov1386,0.00,0.00,0.00,0.03
cov1387,0.00,0.00,0.00,0.02
cov1396,0.00,0.00,0.00,0.42
cov1397,0.00,0.00,0.00,0.09
cov1398,0.00,0.00,0.00,0.01
cov14107,0.00,0.00,0.00,0.76
cov14108,0.00,0.00,0.00,0.16
cov14109,0.00,0.00,0.00,0.02
cov141110,0.00,0.00,0.00,0.01
cov14118,0.00,0.00,0.00,0.07
cov14119,0.00,0.00,0.00,0.02
cov1496,0.00,0.00,0.00,0.08
cov1497,0.00,0.00,0.00,0.05
cov1498,0.00,0.00,0.00,0.03
cov15107,0.00,0.00,0.00,56.19
cov15108,0.00,0.00,0.00,12.35
cov15109,0.00,0.00,0.00,0.04
cov151110,0.00,0.00,0.00,0.03
cov15118,0.00,0.00,0.00,1.93
cov15119,0.00,0.00,0.00,0.31
cov151210,0.00,0.00,0.00,0.03
cov151211,0.00,0.00,0.00,0.01
cov15129,0.00,0.00,0.00,0.13
cov161110,0.00,0.00,0.00,0.06
cov16118,0.00,0.00,0.00,103.13
cov16119,0.00,0.00,0.00,54.40
cov161210,0.00,0.00,0.00,0.54
cov161211,0.00,0.00,0.00,0.03
cov16129,0.00,0.00,0.00,5.19
cov161310,0.00,0.00,0.00,0.13
cov161311,0.00,0.00,0.00,0.04
cov161312,0.00,0.00,0.00,0.01
cov171210,0.00,0.00,0.00,205.95
cov171211,0.00,0.00,0.00,0.08
cov17129,0.00,0.00,0.00,411.29
cov171310,0.00,0.00,0.00,9.61
cov171311,0.00,0.00,0.00,0.78
cov171312,0.00,0.00,0.00,0.05
cov171411,0.00,0.00,0.00,0.24
cov171412,0.00,0.00,0.00,0.05
cov171413,0.00,0.00,0.00,0.02
sts243,0.00,0.00,0.00,0.02
sts45,0.00,0.00,0.00,0.01
sts63,0.00,0.00,0.00,0.01
sts729,0.00,0.00,0.00,0.15
sts81,0.00,0.00,0.00,0.01
