Instance,Solve,Highs run
cod103,1.47688,1.47704
cod105,5.00335,5.00390
cod733,5.00067,5.00105
cod83,0.02819,0.02827
cod93,0.25234,0.25245
codbt111,0.00057,0.00073
codbt112,0.00074,0.00091
codbt113,0.00046,0.00051
codbt114,0.00093,0.00103
codbt121,0.00091,0.00104
codbt122,0.00060,0.00072
codbt123,0.00058,0.00063
codbt124,0.00047,0.00056
codbt131,0.00114,0.00123
codbt132,0.00157,0.00163
codbt133,0.00216,0.00226
codbt134,0.00125,0.00130
codbt141,0.00725,0.00730
codbt142,0.01397,0.01410
codbt143,0.01932,0.01942
codbt144,0.01597,0.01607
codbt151,0.22391,0.22402
codbt152,0.39190,0.39219
codbt153,0.54897,0.54951
codbt154,0.63079,0.63144
codbt161,5.00063,5.00102
codbt162,5.00109,5.00194
codbt163,5.44269,5.44524
codbt164,5.60618,5.61043
codbt171,5.20854,5.20911
codbt172,5.32901,5.33201
codbt173,4.99801,5.00657
codbt174,5.23851,5.25981
codbt211,0.00035,0.00037
codbt212,0.00029,0.00034
codbt221,0.00071,0.00077
codbt222,0.00068,0.00074
codbt231,0.00338,0.00346
codbt232,0.00632,0.00650
codbt241,0.06313,0.06330
codbt242,0.11939,0.11953
codbt251,3.06972,3.06990
codbt252,5.21921,5.21977
codbt261,5.12675,5.12730
codbt262,5.31549,5.31720
codbt341,0.58504,0.58521
codbt342,1.13285,1.13310
codbt451,5.00081,5.00139
codbt452,5.20134,5.20426
codbt453,4.99771,5.00499
codbt511,0.00320,0.00330
codbt512,0.00217,0.00233
codbt521,0.03829,0.03834
codbt522,0.07035,0.07054
codbt531,1.86749,1.86763
codbt532,4.99985,5.00082
codbt711,0.08211,0.08217
codbt712,0.18089,0.18103
codbt721,4.58123,4.58141
codbt722,5.00103,5.00150
codbt731,5.14563,5.14602
codbt732,5.23783,5.24018
codbt811,0.54055,0.54066
codbt812,1.62336,1.62366
codbt821,5.22097,5.22127
codbt822,5.09526,5.09629
codbt831,5.00126,5.00233
codbt832,4.99944,5.00359
cov1052,0.00328,0.00335
cov1053,0.01088,0.01095
cov1054,0.04844,0.04848
cov1063,0.01376,0.01384
cov1064,0.01513,0.01518
cov1065,0.03228,0.03233
cov1074,0.00781,0.00790
cov1075,0.00687,0.00704
cov1076,0.00379,0.00388
cov1163,0.03813,0.03825
cov1164,0.11808,0.11815
cov1165,0.25999,0.26006
cov1174,0.05626,0.05642
cov1175,0.06815,0.06822
cov1176,0.02652,0.02657
cov1185,0.01731,0.01743
cov1186,0.01281,0.01286
cov1187,0.00663,0.00675
cov1274,0.94970,0.94998
cov1275,0.96584,0.96598
cov1276,0.38458,0.38466
cov1285,0.33331,0.33354
cov1286,0.21963,0.21978
cov1287,0.08268,0.08279
cov1296,0.04009,0.04028
cov1297,0.02820,0.02828
cov1298,0.01211,0.01215
cov13107,0.09605,0.09634
cov13108,0.05596,0.05611
cov13109,0.02072,0.02088
cov1385,5.28112,5.28171
cov1386,5.15055,5.15087
cov1387,1.52349,1.52361
cov1396,1.20472,1.20513
cov1397,0.75682,0.75710
cov1398,0.20325,0.20337
cov14107,4.03367,4.03465
cov14108,2.56013,2.56054
cov14109,0.62451,0.62470
cov141110,0.03145,0.03157
cov14118,0.19556,0.19606
cov14119,0.11335,0.11723
cov1496,5.04738,5.04882
cov1497,5.00104,5.00166
cov1498,5.00068,5.00087
cov15107,5.34164,5.34427
cov15108,5.00169,5.00280
cov15109,5.00118,5.00144
cov151110,1.43512,1.43530
cov15118,5.13081,5.13250
cov15119,5.30919,5.30974
cov151210,0.22923,0.22950
cov151211,0.05905,0.05928
cov15129,0.51048,0.51115
cov161110,5.00089,5.00141
cov16118,4.99889,5.00387
cov16119,5.00003,5.00182
cov161210,5.00400,5.00494
cov161211,3.96686,3.96709
cov16129,5.00042,5.00417
cov161310,0.97505,0.97650
cov161311,0.46383,0.46414
cov161312,0.09233,0.09244
cov171210,4.99912,5.00306
cov171211,5.09323,5.09416
cov17129,4.99615,5.00384
cov171310,4.99879,5.00436
cov171311,5.05313,5.05514
cov171312,5.00103,5.00132
cov171411,1.76981,1.77169
cov171412,0.80292,0.80371
cov171413,0.15701,0.15713
sts243,0.06230,0.06271
sts45,0.00153,0.00167
sts63,0.00236,0.00246
sts729,2.21002,2.21321
sts81,0.00340,0.00352
