Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.00015,0.00001,0.11252,0.11568
cod105,0.00014,0.15033,0.46739,0.47945
cod733,0.00020,0.00180,0.00559,0.01273
cod83,0.00014,0.00025,0.00152,0.00232
cod93,0.00011,0.00331,0.01676,0.01893
codbt111,0.00016,0.00000,0.00087,0.00105
codbt112,0.00013,0.00001,0.00069,0.00080
codbt113,0.00016,0.00000,0.00112,0.00127
codbt114,0.00020,0.00000,0.00138,0.00171
codbt121,0.00012,0.00001,0.00094,0.00106
codbt122,0.00017,0.00002,0.00108,0.00125
codbt123,0.00015,0.00002,0.00089,0.00107
codbt124,0.00019,0.00000,0.00166,0.00182
codbt131,0.00019,0.00033,0.00179,0.00209
codbt132,0.00009,0.00000,0.00184,0.00219
codbt133,0.00014,0.00011,0.00218,0.00258
codbt134,0.00012,0.00010,0.00111,0.00133
codbt141,0.00012,0.00000,0.00404,0.00461
codbt142,0.00012,0.00069,0.00931,0.01025
codbt143,0.00018,0.00529,0.01316,0.01493
codbt144,0.00012,0.00000,0.01394,0.01537
codbt151,0.00018,0.00421,0.02775,0.02939
codbt152,0.00021,0.00001,0.11407,0.11954
codbt153,0.00021,0.07749,0.20781,0.21757
codbt154,0.00029,0.09775,0.23449,0.24552
codbt161,0.00015,0.22675,0.64706,0.65162
codbt162,0.00012,1.80056,3.75892,3.77616
codbt163,0.00009,0.00001,5.02224,5.06758
codbt164,0.00012,2.45665,6.23219,6.31135
codbt171,0.00014,0.00003,14.69611,14.71364
codbt172,0.00010,216.43360,284.29155,284.36067
codbt173,0.00016,0.00003,193.41428,193.72316
codbt174,0.00021,152.08038,266.04993,266.66804
codbt211,0.00013,0.00002,0.00100,0.00115
codbt212,0.00015,0.00002,0.00112,0.00128
codbt221,0.00009,0.00019,0.00114,0.00133
codbt222,0.00060,0.00000,0.00272,0.00303
codbt231,0.00012,0.00019,0.00181,0.00219
codbt232,0.00018,0.00018,0.00551,0.00608
codbt241,0.00016,0.00083,0.00224,0.00329
codbt242,0.00020,0.00107,0.04814,0.05088
