Instance,IPM solve,Crossover,Solve,Highs run
30_70_45_095_100,1.49415,0.39484,1.91885,1.93604
ash608gpia-3col,0.00833,0.00033,0.02655,0.04854
core2536-691,1.15053,0.18030,1.35627,1.38604
core4872-1529,3.15766,0.84634,4.07724,4.13008
ex1010-pi,0.50902,0.25893,0.79596,0.99301
ex9,0.43347,3.88674,4.39860,4.50816
neos-1601936,0.50544,0.13602,0.65837,0.67464
neos-476283,25.51833,0.28587,27.21292,27.60457
neos-738098,0.02963,0.55423,0.60849,0.64562
neos-932816,1.32232,0.31330,1.69173,2.28595
neos-935627,0.14389,0.15947,0.31933,0.37108
neos-935769,0.10819,0.17951,0.30199,0.35008
neos-937511,0.13384,0.10815,0.25905,0.31323
neos-937815,0.22376,0.24628,0.48815,0.54997
neos-941262,0.22515,0.17176,0.41128,0.46211
neos-948126,0.19204,0.19932,0.40521,0.45220
neos-984165,0.21524,0.21380,0.44524,0.48695
ns1856153,0.27487,0.06298,0.36971,0.41993
ns894236,0.83016,0.13358,0.99626,1.01054
queens-30,0.00760,0.04971,1.11535,1.12724
ramos3,0.00015,1.40818,1.59695,1.60551
t1717,0.56141,0.50180,1.10321,7.86623
t1722,0.22570,0.13479,0.37812,1.91627
