Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.003,1.6e-05,0.083,0.087
cod105,0.007,0.85,1.3,1.3
cod733,0.013,2.7,3.5,3.5
codbt062,0.0062,1.6e-05,0.38,0.38
codbt063,0.011,9e-06,0.71,0.71
codbt071,0.0069,2.5,3.3,3.3
codbt072,0.02,3.2e-05,7.4,7.4
codbt073,0.076,4.9e-05,16,16
codbt153,0.0063,1.2e-05,0.18,0.19
codbt161,0.0034,0.93,1.4,1.4
codbt162,0.012,3.4e-05,2,2
codbt163,0.029,1.4e-05,4.2,4.2
codbt171,0.011,5.6e-05,12,12
codbt172,0.051,2.6e+02,3.3e+02,3.3e+02
codbt173,0.28,5.2e-05,1e+02,1e+02
codbt251,0.003,0.055,0.38,0.38
codbt252,0.0064,1.7e-05,0.64,0.65
codbt253,0.016,2.1e-05,1.1,1.1
codbt342,0.0039,1.5e-05,0.25,0.25
codbt343,0.0089,9.7e-06,0.42,0.42
codbt441,0.0031,0.19,0.74,0.74
codbt442,0.0086,3.8,5.4,5.4
codbt451,0.0098,24,46,46
codbt452,0.035,1.3e+02,2.5e+02,2.5e+02
codbt453,0.17,4.7e-05,67,67
codbt531,0.0025,0.053,0.24,0.24
codbt532,0.0058,0.4,1.2,1.2
codbt622,0.0034,0.035,0.24,0.25
codbt631,0.0039,0.24,1.7,1.7
codbt632,0.012,0.1,3.4,3.4
codbt721,0.004,0.069,0.2,0.2
codbt722,0.0075,2.8e-05,0.86,0.86
codbt731,0.008,13,23,23
codbt732,0.026,4.4e-05,23,23
codbt811,0.0024,0.033,0.081,0.084
codbt812,0.0049,1.4e-05,0.23,0.23
codbt821,0.0059,0.45,1.3,1.3
codbt822,0.014,3e-05,5.9,5.9
codbt911,0.0036,0.064,0.25,0.25
codbt912,0.01,2.4e-05,1.6,1.6
cov1274,0.0034,0.14,0.18,0.18
cov1275,0.0029,1.7e-05,0.13,0.13
cov1385,0.0084,2.4e-05,0.38,0.38
cov1386,0.0054,0.46,0.59,0.59
cov1387,0.0029,0.14,0.16,0.16
cov1396,0.0078,2,2,2
cov1397,0.0042,0.7,0.73,0.73
cov14107,0.013,11,12,12
cov14108,0.0065,2.8,3,3
cov1496,0.017,7.3,8.1,8.1
cov1497,0.01,4.6,4.8,4.8
cov1498,0.0051,0.7,0.74,0.74
cov15107,0.034,5.8e+02,5.8e+02,5.8e+02
cov15108,0.018,1.9e+02,1.9e+02,1.9e+02
cov15109,0.0071,2.7,2.8,2.8
cov151110,0.005,0.37,0.43,0.43
cov15118,0.022,53,53,53
cov15119,0.011,11,11,11
cov161110,0.013,12,12,12
cov16118,0.083,3.3e+03,3.3e+03,3.3e+03
cov16119,0.028,8.5e+02,8.5e+02,8.5e+02
cov161210,0.015,40,40,40
cov161211,0.0075,0.89,0.92,0.92
cov16129,0.04,2.2e+02,2.2e+02,2.2e+02
cov161310,0.019,2.7,2.8,2.8
cov171210,0,0,3.6e+03,3.6e+03
cov171211,0.016,39,39,39
cov17129,0,0,3.6e+03,3.6e+03
cov171310,0.077,8.6e+02,8.6e+02,8.6e+02
cov171311,0.024,1.3e+02,1.3e+02,1.3e+02
cov171312,0.0094,2.7,2.7,2.7
cov171411,0.028,7.5,7.6,7.6
cov171412,0.01,1.2,1.2,1.2
