Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00278,0.00020,0.00044,0.00200,0.21441,0.21484,0.22058,1024 (-1023),1024 (-1023)
cod105,0.01055,0.00044,0.00043,0.00338,0.38049,0.38092,0.39709,1024 (-1023),1024 (-1023)
cod733,0.00660,0.00047,0.00047,0.00200,1.41801,1.41848,1.42863,2187 (-2186),2187 (-2186)
cod83,0.00052,0.00008,0.00038,0.00060,0.01100,0.01138,0.01290,256 (-255),256 (-255)
cod93,0.00123,0.00008,0.00028,0.00105,0.02760,0.02787,0.03054,512 (-511),512 (-511)
codbt111,0.00005,0.00002,0.00042,0.00006,0.00069,0.00112,0.00141,6 (-5),6 (-5)
codbt112,0.00002,0.00001,0.00026,0.00002,0.00026,0.00052,0.00067,6 (-5),6 (-5)
codbt113,0.00002,0.00001,0.00029,0.00004,0.00082,0.00111,0.00135,6 (-5),6 (-5)
codbt114,0.00003,0.00002,0.00032,0.00004,0.00068,0.00100,0.00118,6 (-5),6 (-5)
codbt121,0.00004,0.00002,0.00027,0.00005,0.00128,0.00155,0.00190,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00031,0.00005,0.00125,0.00156,0.00186,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00028,0.00004,0.00051,0.00080,0.00097,18 (-17),18 (-17)
codbt124,0.00006,0.00001,0.00027,0.00018,0.00286,0.00312,0.00363,18 (-17),18 (-17)
codbt131,0.00018,0.00002,0.00035,0.00015,0.00213,0.00247,0.00298,54 (-53),54 (-53)
codbt132,0.00018,0.00003,0.00038,0.00011,0.00143,0.00181,0.00232,54 (-53),54 (-53)
codbt133,0.00019,0.00003,0.00028,0.00012,0.00142,0.00171,0.00226,54 (-53),54 (-53)
codbt134,0.00013,0.00003,0.00036,0.00011,0.00147,0.00183,0.00235,54 (-53),54 (-53)
codbt141,0.00039,0.00005,0.00033,0.00032,0.00596,0.00629,0.00730,162 (-161),162 (-161)
codbt142,0.00085,0.00006,0.00028,0.00043,0.00684,0.00712,0.00870,162 (-161),162 (-161)
codbt143,0.00155,0.00007,0.00029,0.00058,0.01004,0.01033,0.01289,162 (-161),162 (-161)
codbt144,0.00167,0.00009,0.00036,0.00060,0.01003,0.01039,0.01308,162 (-161),162 (-161)
codbt151,0.00115,0.00013,0.00038,0.00074,0.03241,0.03279,0.03511,486 (-485),486 (-485)
codbt152,0.00371,0.00020,0.00045,0.00135,0.08156,0.08201,0.08803,486 (-485),486 (-485)
codbt153,0.00864,0.00038,0.00045,0.00167,0.11917,0.11962,0.13178,486 (-485),486 (-485)
codbt154,0.01262,0.00051,0.00050,0.00226,0.13843,0.13894,0.15621,486 (-485),486 (-485)
codbt161,0.00457,0.00033,0.00046,0.00198,0.69135,0.69181,0.69955,1458 (-1457),1458 (-1457)
codbt162,0.01789,0.00102,0.00061,0.00480,1.82976,1.83037,1.85717,1458 (-1457),1458 (-1457)
codbt163,0.04232,0.00139,0.00050,0.00883,2.85467,2.85517,2.91512,1458 (-1457),1458 (-1457)
codbt164,0.06865,0.00286,0.00048,0.01103,3.52400,3.52448,3.61758,1458 (-1457),1458 (-1457)
codbt171,0.01509,0.00100,0.00055,0.00793,25.08439,25.08495,25.11147,4374 (-4373),4374 (-4373)
codbt172,0.06467,0.00178,0.00048,0.01230,126.76383,126.76430,126.85262,4374 (-4373),4374 (-4373)
codbt173,0.22083,0.00546,0.00051,0.03929,89.11265,89.11316,89.40828,4374 (-4373),4374 (-4373)
codbt174,0.56788,0.02039,0.00049,0.08819,107.87654,107.87703,108.63292,4374 (-4373),4374 (-4373)
codbt211,0.00005,0.00004,0.00027,0.00007,0.00076,0.00103,0.00133,12 (-11),12 (-11)
codbt212,0.00005,0.00002,0.00034,0.00014,0.00202,0.00235,0.00279,12 (-11),12 (-11)
codbt221,0.00008,0.00004,0.00028,0.00009,0.00128,0.00156,0.00194,36 (-35),36 (-35)
codbt222,0.00013,0.00003,0.00029,0.00011,0.00116,0.00144,0.00186,36 (-35),36 (-35)
codbt231,0.00023,0.00004,0.00027,0.00023,0.00286,0.00313,0.00383,108 (-107),108 (-107)
codbt232,0.00047,0.00007,0.00032,0.00032,0.00448,0.00481,0.00587,108 (-107),108 (-107)
codbt241,0.00072,0.00007,0.00026,0.00054,0.01365,0.01391,0.01545,324 (-323),324 (-323)
codbt242,0.00198,0.00014,0.00035,0.00079,0.02669,0.02704,0.03037,324 (-323),324 (-323)
codbt251,0.00279,0.00023,0.00040,0.00175,0.16057,0.16097,0.16642,972 (-971),972 (-971)
codbt252,0.00995,0.00057,0.00052,0.00315,0.52148,0.52200,0.53755,972 (-971),972 (-971)
codbt261,0.01016,0.00065,0.00047,0.00502,7.73610,7.73657,7.75429,2916 (-2915),2916 (-2915)
codbt262,0.04494,0.00190,0.00055,0.01116,41.41037,41.41092,41.47534,2916 (-2915),2916 (-2915)
codbt341,0.00230,0.00026,0.00043,0.00125,0.06562,0.06605,0.07032,648 (-647),648 (-647)
codbt342,0.00586,0.00028,0.00042,0.00199,0.19344,0.19386,0.20307,648 (-647),648 (-647)
codbt451,0.01240,0.00096,0.00044,0.00559,37.76881,37.76925,37.79035,3888 (-3887),3888 (-3887)
codbt452,0.05248,0.00184,0.00046,0.01548,85.07113,85.07160,85.14961,3888 (-3887),3888 (-3887)
