Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00288,0.00025,0.00108,0.00203,0.21581,0.21689,0.22270,1024 (-1023),1024 (-1023)
cod105,0.00913,0.00053,0.00097,0.00342,0.38826,0.38923,0.40392,1024 (-1023),1024 (-1023)
cod733,0.00720,0.00050,0.00100,0.00205,1.41270,1.41370,1.42466,2187 (-2186),2187 (-2186)
cod83,0.00057,0.00005,0.00062,0.00075,0.00907,0.00969,0.01131,256 (-255),256 (-255)
cod93,0.00119,0.00015,0.00136,0.00095,0.02790,0.02926,0.03193,512 (-511),512 (-511)
codbt111,0.00005,0.00002,0.00085,0.00005,0.00105,0.00191,0.00223,6 (-5),6 (-5)
codbt112,0.00002,0.00001,0.00049,0.00002,0.00033,0.00082,0.00098,6 (-5),6 (-5)
codbt113,0.00003,0.00002,0.00066,0.00007,0.00103,0.00169,0.00197,6 (-5),6 (-5)
codbt114,0.00004,0.00002,0.00121,0.00006,0.00121,0.00242,0.00275,6 (-5),6 (-5)
codbt121,0.00004,0.00002,0.00086,0.00005,0.00071,0.00157,0.00185,18 (-17),18 (-17)
codbt122,0.00007,0.00002,0.00112,0.00006,0.00088,0.00200,0.00232,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00047,0.00004,0.00063,0.00110,0.00128,18 (-17),18 (-17)
codbt124,0.00009,0.00001,0.00108,0.00025,0.00378,0.00486,0.00550,18 (-17),18 (-17)
codbt131,0.00011,0.00004,0.00048,0.00015,0.00154,0.00201,0.00252,54 (-53),54 (-53)
codbt132,0.00017,0.00004,0.00075,0.00010,0.00170,0.00245,0.00291,54 (-53),54 (-53)
codbt133,0.00016,0.00004,0.00068,0.00011,0.00146,0.00214,0.00264,54 (-53),54 (-53)
codbt134,0.00015,0.00003,0.00114,0.00016,0.00167,0.00281,0.00336,54 (-53),54 (-53)
codbt141,0.00047,0.00005,0.00075,0.00061,0.00545,0.00619,0.00757,162 (-161),162 (-161)
codbt142,0.00087,0.00007,0.00096,0.00046,0.00725,0.00821,0.00993,162 (-161),162 (-161)
codbt143,0.00153,0.00008,0.00096,0.00063,0.00975,0.01071,0.01340,162 (-161),162 (-161)
codbt144,0.00149,0.00008,0.00111,0.00055,0.00980,0.01090,0.01343,162 (-161),162 (-161)
codbt151,0.00111,0.00010,0.00088,0.00077,0.03426,0.03514,0.03742,486 (-485),486 (-485)
codbt152,0.00453,0.00023,0.00098,0.00123,0.07972,0.08071,0.08745,486 (-485),486 (-485)
codbt153,0.00745,0.00042,0.00112,0.00176,0.12650,0.12761,0.13928,486 (-485),486 (-485)
codbt154,0.01093,0.00045,0.00096,0.00199,0.13822,0.13918,0.15440,486 (-485),486 (-485)
codbt161,0.00452,0.00040,0.00123,0.00191,0.67238,0.67361,0.68142,1458 (-1457),1458 (-1457)
codbt162,0.01647,0.00080,0.00081,0.00458,1.72456,1.72537,1.75003,1458 (-1457),1458 (-1457)
codbt163,0.04037,0.00129,0.00079,0.00842,2.96342,2.96421,3.02021,1458 (-1457),1458 (-1457)
codbt164,0.06960,0.00253,0.00072,0.01261,3.76822,3.76893,3.86534,1458 (-1457),1458 (-1457)
codbt171,0.01533,0.00096,0.00084,0.00760,27.23176,27.23260,27.25912,4374 (-4373),4374 (-4373)
codbt172,0.06596,0.00192,0.00095,0.01403,131.72820,131.72915,131.82230,4374 (-4373),4374 (-4373)
codbt173,0.20685,0.00476,0.00089,0.03459,87.42098,87.42187,87.69710,4374 (-4373),4374 (-4373)
codbt174,0.56750,0.01793,0.00113,0.07475,101.95361,101.95473,102.69352,4374 (-4373),4374 (-4373)
codbt211,0.00004,0.00002,0.00057,0.00005,0.00053,0.00110,0.00132,12 (-11),12 (-11)
codbt212,0.00006,0.00001,0.00073,0.00019,0.00278,0.00351,0.00406,12 (-11),12 (-11)
codbt221,0.00009,0.00003,0.00113,0.00009,0.00123,0.00237,0.00273,36 (-35),36 (-35)
codbt222,0.00013,0.00003,0.00110,0.00011,0.00145,0.00254,0.00299,36 (-35),36 (-35)
codbt231,0.00028,0.00004,0.00103,0.00030,0.00328,0.00431,0.00517,108 (-107),108 (-107)
codbt232,0.00043,0.00004,0.00074,0.00026,0.00425,0.00499,0.00603,108 (-107),108 (-107)
codbt241,0.00068,0.00008,0.00080,0.00045,0.01404,0.01484,0.01627,324 (-323),324 (-323)
codbt242,0.00248,0.00010,0.00088,0.00077,0.02702,0.02790,0.03169,324 (-323),324 (-323)
codbt251,0.00241,0.00016,0.00109,0.00168,0.15958,0.16067,0.16542,972 (-971),972 (-971)
codbt252,0.01045,0.00056,0.00119,0.00356,0.52455,0.52573,0.54203,972 (-971),972 (-971)
codbt261,0.00837,0.00061,0.00108,0.00472,7.22436,7.22543,7.24068,2916 (-2915),2916 (-2915)
codbt262,0.04053,0.00139,0.00062,0.01180,41.09326,41.09388,41.15340,2916 (-2915),2916 (-2915)
codbt341,0.00178,0.00014,0.00096,0.00123,0.05835,0.05930,0.06288,648 (-647),648 (-647)
codbt342,0.00511,0.00022,0.00074,0.00182,0.18787,0.18861,0.19674,648 (-647),648 (-647)
codbt451,0.01238,0.00116,0.00091,0.00612,37.88293,37.88384,37.90570,3888 (-3887),3888 (-3887)
codbt452,0.05117,0.00120,0.00071,0.01357,81.66102,81.66172,81.73580,3888 (-3887),3888 (-3887)
codbt453,0.15768,0.00374,0.00078,0.02749,47.17475,47.17553,47.38581,3888 (-3887),3888 (-3887)
