Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00,0.00,0.00,0.00,0.31,0.32,0.32,1024 (-1023),1024 (-1023)
cod105,0.01,0.00,0.00,0.00,0.30,0.31,0.33,1024 (-1023),1024 (-1023)
cod733,0.01,0.00,0.00,0.00,1.64,1.64,1.65,2187 (-2186),2187 (-2186)
cod83,0.00,0.00,0.00,0.00,0.02,0.02,0.02,256 (-255),256 (-255)
cod93,0.00,0.00,0.00,0.00,0.03,0.04,0.04,512 (-511),512 (-511)
codbt111,0.00,0.00,0.00,0.00,0.00,0.01,0.01,6 (-5),6 (-5)
codbt112,0.00,0.00,0.00,0.00,0.00,0.00,0.01,6 (-5),6 (-5)
codbt113,0.00,0.00,0.01,0.00,0.00,0.01,0.01,6 (-5),6 (-5)
codbt114,0.00,0.00,0.00,0.00,0.00,0.01,0.01,6 (-5),6 (-5)
codbt121,0.00,0.00,0.00,0.00,0.00,0.00,0.01,18 (-17),18 (-17)
codbt122,0.00,0.00,0.00,0.00,0.00,0.01,0.01,18 (-17),18 (-17)
codbt123,0.00,0.00,0.00,0.00,0.00,0.01,0.01,18 (-17),18 (-17)
codbt124,0.00,0.00,0.00,0.00,0.01,0.01,0.01,18 (-17),18 (-17)
codbt131,0.00,0.00,0.00,0.00,0.00,0.01,0.01,54 (-53),54 (-53)
codbt132,0.00,0.00,0.00,0.00,0.00,0.01,0.01,54 (-53),54 (-53)
codbt133,0.00,0.00,0.00,0.00,0.00,0.01,0.01,54 (-53),54 (-53)
codbt134,0.00,0.00,0.00,0.00,0.01,0.01,0.01,54 (-53),54 (-53)
codbt141,0.00,0.00,0.00,0.00,0.01,0.01,0.01,162 (-161),162 (-161)
codbt142,0.00,0.00,0.00,0.00,0.01,0.01,0.01,162 (-161),162 (-161)
codbt143,0.00,0.00,0.00,0.00,0.01,0.01,0.02,162 (-161),162 (-161)
codbt144,0.00,0.00,0.00,0.00,0.02,0.02,0.02,162 (-161),162 (-161)
codbt151,0.00,0.00,0.00,0.00,0.04,0.04,0.04,486 (-485),486 (-485)
codbt152,0.00,0.00,0.00,0.00,0.11,0.12,0.12,486 (-485),486 (-485)
codbt153,0.01,0.00,0.00,0.00,0.15,0.15,0.17,486 (-485),486 (-485)
codbt154,0.01,0.00,0.01,0.00,0.27,0.27,0.29,486 (-485),486 (-485)
codbt161,0.00,0.00,0.00,0.00,0.78,0.79,0.80,1458 (-1457),1458 (-1457)
codbt162,0.02,0.00,0.00,0.01,2.62,2.63,2.66,1458 (-1457),1458 (-1457)
codbt163,0.05,0.00,0.00,0.01,4.20,4.20,4.28,1458 (-1457),1458 (-1457)
codbt164,0.10,0.01,0.00,0.02,5.62,5.62,5.77,1458 (-1457),1458 (-1457)
codbt171,0.02,0.00,0.00,0.01,40.12,40.13,40.16,4374 (-4373),4374 (-4373)
