Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
30_70_45_095_100,0.00509,0.00462,12.51791,0.00517,0.01064,12.52855,12.54590,10976 (-1),12526 (-1)
ash608gpia-3col,0.01087,0.00354,0.00912,0.00989,0.04364,0.05277,0.08049,3651 (-2434),24748 (-15688)
core2536-691,0.01593,0.00547,3.23581,0.00569,0.00608,3.24189,3.27454,15293 (-9),2539 (-45)
core4872-1529,0.03565,0.00879,26.74817,0.00866,0.01768,26.76585,26.82905,24656 (-245),4875 (-78)
ex1010-pi,0.19212,0.00618,3.92598,0.02583,0.04017,3.96615,4.23003,25200 (-3464),1468 (-0)
ex9,0.07935,0.00898,0.80664,0.03256,2.01980,2.82644,2.96699,10404 (-7827),40962 (-30783)
neos-1601936,0.00998,0.00211,0.87088,0.00205,0.00525,0.87613,0.89328,4446 (-406),3131 (-15)
neos-476283,0.27399,0.05112,1.22297,0.03851,0.08652,1.30949,1.75249,11915 (-85),10015 (-27)
neos-738098,0.02767,0.00238,0.01353,0.03457,0.21223,0.22577,0.29833,9093 (-8037),25849 (-24389)
neos-932816,0.55528,0.00854,0.27206,0.04648,0.24118,0.51324,1.28882,21007 (-13513),30823 (-21160)
neos-935627,0.04816,0.00264,0.81929,0.02105,0.25764,1.07693,1.16479,10301 (-6467),7859 (-4219)
neos-935769,0.04157,0.00219,0.39308,0.01845,0.15221,0.54529,0.62035,9799 (-6201),6741 (-3279)
neos-937511,0.04937,0.00262,0.65938,0.02273,0.19824,0.85761,0.94736,11332 (-6928),8158 (-3961)
neos-937815,0.05637,0.00291,1.83950,0.02487,0.23283,2.07232,2.17312,11646 (-6578),9251 (-4565)
neos-941262,0.04359,0.00236,1.27264,0.01348,0.12164,1.39427,1.46595,9480 (-5090),6703 (-2900)
neos-948126,0.04083,0.00237,1.60168,0.01679,0.20089,1.80257,1.87514,9551 (-5520),7271 (-3574)
neos-984165,0.03530,0.00232,1.56131,0.01342,0.20940,1.77071,1.83205,8883 (-4841),6962 (-3188)
ns1856153,0.03161,0.00697,0.28644,0.01972,0.23327,0.51970,0.58662,11998 (-5551),35407 (-16464)
ns894236,0.00657,0.00346,4.50661,0.00355,0.00489,4.51150,4.52732,9666 (-209),8218 (-605)
queens-30,0.00877,0.00057,0.00663,0.00139,0.63811,0.64474,0.65729,900 (-780),960 (-840)
ramos3,0.00501,0.00032,0.00039,0.00206,1.27515,1.27554,1.28405,2187 (-2186),2187 (-2186)
t1717,6.79931,0.01147,1.52297,0.92705,1.11389,2.63686,13.32528,73885 (-57380),551 (-0)
t1722,1.61275,0.00568,0.32694,0.20132,0.23439,0.56133,2.94789,36630 (-27542),338 (-0)
