Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00182,0.00015,0.00036,0.00055,0.20554,0.20590,0.20888,1024 (-1023),1024 (-1023)
cod105,0.00712,0.00030,0.00033,0.00084,0.56034,0.56068,0.57004,1024 (-1023),1024 (-1023)
cod733,0.00450,0.00033,0.00040,0.00119,1.72854,1.72894,1.73589,2187 (-2186),2187 (-2186)
cod83,0.00045,0.00007,0.00034,0.00015,0.00762,0.00796,0.00877,256 (-255),256 (-255)
cod93,0.00094,0.00009,0.00036,0.00030,0.03262,0.03298,0.03451,512 (-511),512 (-511)
codbt111,0.00005,0.00002,0.00033,0.00002,0.00021,0.00054,0.00075,6 (-5),6 (-5)
codbt112,0.00002,0.00001,0.00036,0.00002,0.00024,0.00060,0.00078,6 (-5),6 (-5)
codbt113,0.00002,0.00001,0.00030,0.00002,0.00021,0.00052,0.00073,6 (-5),6 (-5)
codbt114,0.00002,0.00001,0.00027,0.00001,0.00019,0.00047,0.00067,6 (-5),6 (-5)
codbt121,0.00004,0.00001,0.00031,0.00002,0.00033,0.00064,0.00088,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00035,0.00003,0.00030,0.00065,0.00086,18 (-17),18 (-17)
codbt123,0.00003,0.00001,0.00027,0.00002,0.00027,0.00054,0.00072,18 (-17),18 (-17)
codbt124,0.00002,0.00001,0.00028,0.00002,0.00022,0.00050,0.00067,18 (-17),18 (-17)
codbt131,0.00008,0.00002,0.00032,0.00004,0.00073,0.00105,0.00137,54 (-53),54 (-53)
codbt132,0.00014,0.00003,0.00030,0.00005,0.00115,0.00145,0.00182,54 (-53),54 (-53)
codbt133,0.00017,0.00003,0.00029,0.00004,0.00101,0.00130,0.00169,54 (-53),54 (-53)
codbt134,0.00008,0.00002,0.00026,0.00003,0.00071,0.00096,0.00121,54 (-53),54 (-53)
codbt141,0.00032,0.00004,0.00038,0.00012,0.00299,0.00337,0.00408,162 (-161),162 (-161)
codbt142,0.00069,0.00006,0.00029,0.00014,0.00634,0.00663,0.00777,162 (-161),162 (-161)
codbt143,0.00109,0.00005,0.00028,0.00016,0.00935,0.00964,0.01118,162 (-161),162 (-161)
codbt144,0.00105,0.00006,0.00032,0.00015,0.00800,0.00832,0.00980,162 (-161),162 (-161)
codbt151,0.00094,0.00008,0.00033,0.00027,0.03993,0.04026,0.04181,486 (-485),486 (-485)
codbt152,0.00311,0.00015,0.00038,0.00042,0.07787,0.07826,0.08244,486 (-485),486 (-485)
codbt153,0.00762,0.00031,0.00037,0.00080,0.17390,0.17427,0.18417,486 (-485),486 (-485)
codbt154,0.00816,0.00028,0.00036,0.00089,0.21576,0.21611,0.22663,486 (-485),486 (-485)
codbt161,0.00324,0.00024,0.00044,0.00087,0.81704,0.81748,0.82255,1458 (-1457),1458 (-1457)
codbt162,0.01372,0.00056,0.00041,0.00160,3.63080,3.63122,3.64920,1458 (-1457),1458 (-1457)
codbt163,0.03672,0.00113,0.00036,0.00338,4.56715,4.56751,4.61380,1458 (-1457),1458 (-1457)
codbt164,0.06729,0.00190,0.00039,0.00543,3.47443,3.47482,3.55754,1458 (-1457),1458 (-1457)
codbt171,0.01183,0.00067,0.00039,0.00516,23.88146,23.88185,23.90148,4374 (-4373),4374 (-4373)
codbt172,0.06063,0.00183,0.00038,0.01091,223.75579,223.75617,223.83696,4374 (-4373),4374 (-4373)
codbt173,0.25499,0.01027,0.00071,0.03567,85.48760,85.48832,85.81892,4374 (-4373),4374 (-4373)
codbt174,0.61584,0.01152,0.00065,0.06175,93.47131,93.47196,94.22109,4374 (-4373),4374 (-4373)
codbt211,0.00004,0.00002,0.00040,0.00003,0.00025,0.00066,0.00087,12 (-11),12 (-11)
codbt212,0.00004,0.00002,0.00031,0.00002,0.00024,0.00055,0.00068,12 (-11),12 (-11)
codbt221,0.00006,0.00002,0.00029,0.00003,0.00056,0.00084,0.00112,36 (-35),36 (-35)
codbt222,0.00010,0.00002,0.00030,0.00003,0.00049,0.00080,0.00110,36 (-35),36 (-35)
codbt231,0.00018,0.00003,0.00030,0.00006,0.00175,0.00205,0.00247,108 (-107),108 (-107)
codbt232,0.00034,0.00004,0.00030,0.00008,0.00342,0.00372,0.00438,108 (-107),108 (-107)
codbt241,0.00055,0.00007,0.00028,0.00021,0.01387,0.01415,0.01515,324 (-323),324 (-323)
codbt242,0.00165,0.00010,0.00036,0.00028,0.02556,0.02592,0.02834,324 (-323),324 (-323)
codbt251,0.00209,0.00015,0.00029,0.00050,0.26986,0.27015,0.27345,972 (-971),972 (-971)
codbt252,0.00775,0.00033,0.00044,0.00092,0.62740,0.62784,0.63800,972 (-971),972 (-971)
codbt261,0.00735,0.00044,0.00035,0.00257,5.97510,5.97545,5.98713,2916 (-2915),2916 (-2915)
codbt262,0.03483,0.00118,0.00051,0.00498,46.96231,46.96282,47.00803,2916 (-2915),2916 (-2915)
codbt341,0.00153,0.00014,0.00034,0.00043,0.05667,0.05701,0.05947,648 (-647),648 (-647)
codbt342,0.00399,0.00018,0.00037,0.00056,0.15298,0.15336,0.15886,648 (-647),648 (-647)
codbt451,0.01019,0.00061,0.00037,0.00292,26.42151,26.42188,26.43722,3888 (-3887),3888 (-3887)
codbt452,0.04671,0.00130,0.00036,0.00628,86.50314,86.50350,86.56280,3888 (-3887),3888 (-3887)
codbt453,0.15052,0.00410,0.00048,0.02136,46.58766,46.58814,46.78323,3888 (-3887),3888 (-3887)
codbt511,0.00019,0.00004,0.00036,0.00008,0.00132,0.00167,0.00214,96 (-95),96 (-95)
codbt512,0.00037,0.00005,0.00034,0.00010,0.00185,0.00220,0.00292,96 (-95),96 (-95)
codbt521,0.00056,0.00007,0.00039,0.00018,0.01125,0.01164,0.01260,288 (-287),288 (-287)
codbt522,0.00126,0.00007,0.00033,0.00023,0.02227,0.02260,0.02450,288 (-287),288 (-287)
codbt531,0.00159,0.00013,0.00030,0.00048,0.20611,0.20642,0.20903,864 (-863),864 (-863)
codbt532,0.00586,0.00024,0.00044,0.00077,0.53286,0.53330,0.54113,864 (-863),864 (-863)
codbt711,0.00088,0.00011,0.00043,0.00028,0.02562,0.02605,0.02755,384 (-383),384 (-383)
codbt712,0.00177,0.00010,0.00033,0.00029,0.03273,0.03306,0.03558,384 (-383),384 (-383)
codbt721,0.00232,0.00018,0.00040,0.00060,0.33567,0.33607,0.33967,1152 (-1151),1152 (-1151)
codbt722,0.00767,0.00034,0.00037,0.00098,1.41256,1.41293,1.42308,1152 (-1151),1152 (-1151)
codbt731,0.00956,0.00059,0.00044,0.00405,15.57242,15.57286,15.58868,3456 (-3455),3456 (-3455)
codbt732,0.03990,0.00103,0.00036,0.00741,20.42771,20.42807,20.48131,3456 (-3455),3456 (-3455)
codbt811,0.00153,0.00012,0.00039,0.00041,0.11620,0.11659,0.11900,768 (-767),768 (-767)
codbt812,0.00470,0.00023,0.00041,0.00064,0.23747,0.23788,0.24422,768 (-767),768 (-767)
codbt821,0.00532,0.00034,0.00039,0.00200,3.61267,3.61307,3.62174,2304 (-2303),2304 (-2303)
codbt822,0.02065,0.00062,0.00032,0.00365,5.03666,5.03698,5.06486,2304 (-2303),2304 (-2303)
codbt831,0.01980,0.00102,0.00038,0.00920,93.16763,93.16801,93.20111,6912 (-6911),6912 (-6911)
codbt832,0.09204,0.00209,0.00038,0.01751,203.14204,203.14242,203.26449,6912 (-6911),6912 (-6911)
cov1052,0.00032,0.00004,0.00031,0.00010,0.00393,0.00424,0.00490,252 (-251),45 (-44)
cov1053,0.00037,0.00005,0.00028,0.00011,0.00599,0.00626,0.00695,252 (-251),120 (-119)
cov1054,0.00032,0.00008,0.00032,0.00015,0.00526,0.00558,0.00626,252 (-251),210 (-209)
