Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
30_70_45_095_100,0.00706,0.00487,12.44570,0.00523,0.01134,12.45704,12.47657,10976 (-1),12526 (-1)
ash608gpia-3col,0.01434,0.00335,0.01025,0.00984,0.04573,0.05597,0.08724,3651 (-2434),24748 (-15688)
core2536-691,0.01630,0.00517,3.25111,0.00589,0.00830,3.25942,3.29241,15293 (-9),2539 (-45)
core4872-1529,0.04177,0.00950,26.43961,0.00901,0.01862,26.45823,26.52926,24656 (-245),4875 (-78)
ex1010-pi,0.19121,0.00684,3.96485,0.01395,0.02323,3.98808,4.24059,25200 (-3464),1468 (-0)
ex9,0.07984,0.01013,0.81049,0.03352,2.04574,2.85623,3.00051,10404 (-7827),40962 (-30783)
neos-1601936,0.01249,0.00261,0.85137,0.00203,0.00536,0.85673,0.87700,4446 (-406),3131 (-15)
neos-476283,0.27746,0.05086,1.22524,0.03988,0.09449,1.31973,1.77798,11915 (-85),10015 (-27)
neos-738098,0.02897,0.00249,0.01375,0.03554,0.21680,0.23055,0.30581,9093 (-8037),25849 (-24389)
neos-932816,0.56635,0.00903,0.33298,0.04670,0.24994,0.58293,1.37877,21007 (-13513),30823 (-21160)
neos-935627,0.06091,0.00300,0.79897,0.02286,0.28351,1.08248,1.18952,10301 (-6467),7859 (-4219)
neos-935769,0.04408,0.00291,0.39985,0.02082,0.16576,0.56561,0.64704,9799 (-6201),6741 (-3279)
neos-937511,0.05192,0.00338,0.66098,0.02098,0.20656,0.86754,0.95872,11332 (-6928),8158 (-3961)
neos-937815,0.05987,0.00351,1.85694,0.02229,0.24940,2.10634,2.20958,11646 (-6578),9251 (-4565)
neos-941262,0.04610,0.00295,1.26843,0.01653,0.12874,1.39717,1.47612,9480 (-5090),6703 (-2900)
neos-948126,0.04515,0.00300,1.62738,0.02082,0.21020,1.83758,1.91938,9551 (-5520),7271 (-3574)
neos-984165,0.03904,0.00291,1.56295,0.01515,0.21524,1.77819,1.84607,8883 (-4841),6962 (-3188)
ns1856153,0.03322,0.00715,0.28978,0.02019,0.23959,0.52938,0.59926,11998 (-5551),35407 (-16464)
ns894236,0.00867,0.00343,4.53308,0.00362,0.00563,4.53870,4.55672,9666 (-209),8218 (-605)
queens-30,0.00990,0.00063,0.00766,0.00249,1.30067,1.30833,1.32359,900 (-780),960 (-840)
ramos3,0.00796,0.00049,0.00041,0.00306,1.30805,1.30845,1.32118,2187 (-2186),2187 (-2186)
t1717,6.72711,0.01189,1.53420,0.14026,0.61153,2.14573,11.74707,73885 (-57380),551 (-0)
t1722,1.60319,0.00654,0.32957,0.06185,0.15032,0.47989,2.67102,36630 (-27542),338 (-0)
