Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00352,0.00020,0.00050,0.00282,0.24649,0.24699,0.25447,1024 (-1023),1024 (-1023)
cod105,0.00974,0.00041,0.00042,0.00365,0.39723,0.39765,0.41307,1024 (-1023),1024 (-1023)
cod733,0.00932,0.00078,0.00094,0.00216,1.54108,1.54202,1.55557,2187 (-2186),2187 (-2186)
cod83,0.00086,0.00007,0.00041,0.00113,0.01205,0.01246,0.01493,256 (-255),256 (-255)
cod93,0.00143,0.00015,0.00038,0.00130,0.02994,0.03032,0.03360,512 (-511),512 (-511)
codbt111,0.00004,0.00002,0.00063,0.00014,0.00139,0.00202,0.00259,6 (-5),6 (-5)
codbt112,0.00003,0.00002,0.00050,0.00009,0.00083,0.00133,0.00175,6 (-5),6 (-5)
codbt113,0.00003,0.00001,0.00035,0.00005,0.00210,0.00245,0.00298,6 (-5),6 (-5)
codbt114,0.00004,0.00003,0.00066,0.00007,0.00195,0.00261,0.00312,6 (-5),6 (-5)
codbt121,0.00004,0.00001,0.00038,0.00006,0.00101,0.00139,0.00166,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00044,0.00011,0.00085,0.00129,0.00165,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00031,0.00004,0.00075,0.00106,0.00133,18 (-17),18 (-17)
codbt124,0.00005,0.00002,0.00034,0.00019,0.00389,0.00423,0.00484,18 (-17),18 (-17)
codbt131,0.00015,0.00003,0.00042,0.00016,0.00145,0.00187,0.00232,54 (-53),54 (-53)
codbt132,0.00022,0.00003,0.00047,0.00012,0.00165,0.00212,0.00266,54 (-53),54 (-53)
codbt133,0.00021,0.00003,0.00033,0.00018,0.00286,0.00319,0.00377,54 (-53),54 (-53)
codbt134,0.00016,0.00003,0.00028,0.00019,0.00141,0.00169,0.00244,54 (-53),54 (-53)
codbt141,0.00045,0.00007,0.00052,0.00047,0.00749,0.00801,0.00923,162 (-161),162 (-161)
