Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions),Columns Reduced (%),Rows Reduced (%)
cod103,0.00,0.00,0.00,0.00,0.30,0.31,0.32,1024 (-1023),1024 (-1023),1.00,1.00
cod105,0.01,0.00,0.00,0.00,0.31,0.31,0.33,1024 (-1023),1024 (-1023),1.00,1.00
cod733,0.01,0.00,0.00,0.00,1.67,1.67,1.69,2187 (-2186),2187 (-2186),1.00,1.00
cod83,0.00,0.00,0.00,0.00,0.03,0.03,0.04,256 (-255),256 (-255),1.00,1.00
cod93,0.00,0.00,0.00,0.00,0.04,0.04,0.05,512 (-511),512 (-511),1.00,1.00
codbt211,0.00,0.00,0.00,0.00,0.01,0.02,0.02,12 (-11),12 (-11),0.92,0.92
codbt212,0.00,0.00,0.00,0.00,0.02,0.03,0.03,12 (-11),12 (-11),0.92,0.92
codbt221,0.00,0.00,0.00,0.00,0.01,0.02,0.02,36 (-35),36 (-35),0.97,0.97
codbt222,0.00,0.00,0.00,0.00,0.02,0.02,0.03,36 (-35),36 (-35),0.97,0.97
codbt231,0.00,0.00,0.00,0.00,0.02,0.03,0.03,108 (-107),108 (-107),0.99,0.99
codbt232,0.00,0.00,0.01,0.00,0.02,0.02,0.03,108 (-107),108 (-107),0.99,0.99
codbt241,0.00,0.00,0.01,0.00,0.03,0.03,0.04,324 (-323),324 (-323),1.00,1.00
codbt242,0.00,0.00,0.00,0.00,0.05,0.06,0.06,324 (-323),324 (-323),1.00,1.00
codbt251,0.00,0.00,0.00,0.00,0.23,0.23,0.24,972 (-971),972 (-971),1.00,1.00
codbt252,0.01,0.00,0.00,0.00,0.74,0.75,0.77,972 (-971),972 (-971),1.00,1.00
codbt261,0.01,0.00,0.00,0.01,8.23,8.24,8.26,2916 (-2915),2916 (-2915),1.00,1.00
codbt262,0.05,0.00,0.00,0.01,79.74,79.74,79.82,2916 (-2915),2916 (-2915),1.00,1.00
codbt341,0.00,0.00,0.00,0.00,0.10,0.10,0.11,648 (-647),648 (-647),1.00,1.00
codbt342,0.01,0.00,0.00,0.00,0.22,0.22,0.24,648 (-647),648 (-647),1.00,1.00
codbt451,0.01,0.00,0.00,0.01,47.04,47.04,47.07,3888 (-3887),3888 (-3887),1.00,1.00
codbt452,0.07,0.00,0.00,0.02,62.26,62.27,62.37,3888 (-3887),3888 (-3887),1.00,1.00
codbt453,0.22,0.01,0.00,0.04,87.53,87.54,87.85,3888 (-3887),3888 (-3887),1.00,1.00
codbt511,0.00,0.00,0.00,0.00,0.02,0.02,0.03,96 (-95),96 (-95),0.99,0.99
codbt512,0.00,0.00,0.00,0.00,0.02,0.02,0.03,96 (-95),96 (-95),0.99,0.99
codbt521,0.00,0.00,0.00,0.00,0.03,0.04,0.04,288 (-287),288 (-287),1.00,1.00
codbt522,0.00,0.00,0.00,0.00,0.05,0.05,0.06,288 (-287),288 (-287),1.00,1.00
codbt531,0.00,0.00,0.00,0.00,0.17,0.17,0.18,864 (-863),864 (-863),1.00,1.00
codbt532,0.01,0.00,0.00,0.00,0.48,0.49,0.51,864 (-863),864 (-863),1.00,1.00
codbt711,0.00,0.00,0.00,0.00,0.04,0.04,0.05,384 (-383),384 (-383),1.00,1.00
codbt712,0.00,0.00,0.00,0.00,0.05,0.06,0.07,384 (-383),384 (-383),1.00,1.00
codbt721,0.00,0.00,0.00,0.00,0.50,0.50,0.52,1152 (-1151),1152 (-1151),1.00,1.00
codbt722,0.01,0.00,0.00,0.00,1.04,1.04,1.06,1152 (-1151),1152 (-1151),1.00,1.00
codbt731,0.01,0.00,0.00,0.01,18.19,18.19,18.22,3456 (-3455),3456 (-3455),1.00,1.00
codbt732,0.05,0.00,0.00,0.01,34.76,34.76,34.84,3456 (-3455),3456 (-3455),1.00,1.00
codbt811,0.00,0.00,0.00,0.00,0.11,0.12,0.12,768 (-767),768 (-767),1.00,1.00
codbt812,0.01,0.00,0.00,0.00,0.29,0.30,0.31,768 (-767),768 (-767),1.00,1.00
codbt821,0.01,0.00,0.00,0.01,4.80,4.80,4.82,2304 (-2303),2304 (-2303),1.00,1.00
codbt822,0.03,0.00,0.00,0.01,9.21,9.21,9.26,2304 (-2303),2304 (-2303),1.00,1.00
codbt831,0.03,0.00,0.00,0.01,212.92,212.93,212.98,6912 (-6911),6912 (-6911),1.00,1.00
codbt832,0.13,0.01,0.00,0.03,498.81,498.81,499.00,6912 (-6911),6912 (-6911),1.00,1.00
cov1052,0.00,0.00,0.01,0.00,0.03,0.03,0.04,252 (-251),45 (-44),1.00,0.98
