Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
30_70_45_095_100,0.00510,0.00456,2.40081,0.00513,0.01055,2.41136,2.42870,10976 (-1),12526 (-1)
ash608gpia-3col,0.01114,0.00340,0.01661,0.00961,0.04223,0.05885,0.08693,3651 (-2434),24748 (-15688)
core2536-691,0.01429,0.00528,1.21204,0.00495,0.00592,1.21797,1.24720,15293 (-9),2539 (-45)
core4872-1529,0.03358,0.00812,3.33048,0.00978,0.01696,3.34744,3.41040,24656 (-245),4875 (-78)
ex1010-pi,0.18875,0.00598,0.50144,0.02458,0.03875,0.54018,0.79911,25200 (-3464),1468 (-0)
ex9,0.07503,0.00862,0.75808,0.03101,3.40974,4.16781,4.30129,10404 (-7827),40962 (-30783)
neos-1601936,0.00958,0.00211,0.59275,0.00184,0.00498,0.59773,0.61395,4446 (-406),3131 (-15)
neos-476283,0.25191,0.05146,26.83266,0.03536,0.08522,26.91788,27.32949,11915 (-85),10015 (-27)
neos-738098,0.02510,0.00234,0.03188,0.03282,0.28969,0.32157,0.38964,9093 (-8037),25849 (-24389)
neos-932816,0.54696,0.00848,1.52504,0.04728,0.48715,2.01219,2.77726,21007 (-13513),30823 (-21160)
neos-935627,0.04673,0.00230,0.19782,0.02080,0.27918,0.47700,0.56558,10301 (-6467),7859 (-4219)
neos-935769,0.04256,0.00217,0.16946,0.01899,0.16371,0.33317,0.41013,9799 (-6201),6741 (-3279)
neos-937511,0.04967,0.00256,0.21127,0.02201,0.18210,0.39337,0.48341,11332 (-6928),8158 (-3961)
neos-937815,0.05750,0.00275,0.32346,0.02522,0.28878,0.61224,0.71461,11646 (-6578),9251 (-4565)
neos-941262,0.04430,0.00229,0.33342,0.01360,0.20055,0.53397,0.60683,9480 (-5090),6703 (-2900)
neos-948126,0.04038,0.00235,0.27778,0.01673,0.23029,0.50807,0.58025,9551 (-5520),7271 (-3574)
neos-984165,0.03397,0.00213,0.31253,0.01311,0.25241,0.56494,0.62359,8883 (-4841),6962 (-3188)
ns1856153,0.03091,0.00680,0.29617,0.02059,0.08698,0.38315,0.45020,11998 (-5551),35407 (-16464)
ns894236,0.00524,0.00322,0.85584,0.00363,0.00632,0.86216,0.87625,9666 (-209),8218 (-605)
queens-30,0.00914,0.00050,0.00932,0.00111,0.62572,0.63504,0.64720,900 (-780),960 (-840)
ramos3,0.00506,0.00033,0.00081,0.00205,1.26505,1.26586,1.27440,2187 (-2186),2187 (-2186)
t1717,6.86532,0.01210,0.55148,0.92970,1.11692,1.66841,12.40026,73885 (-57380),551 (-0)
t1722,1.62266,0.00552,0.22744,0.20067,0.23557,0.46301,2.88616,36630 (-27542),338 (-0)
