Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00189,0.00016,0.00097,0.00058,0.20325,0.20421,0.20728,1024 (-1023),1024 (-1023)
cod105,0.00715,0.00033,0.00104,0.00090,0.57898,0.58002,0.58954,1024 (-1023),1024 (-1023)
cod733,0.00465,0.00032,0.00091,0.00121,1.69877,1.69967,1.70683,2187 (-2186),2187 (-2186)
cod83,0.00046,0.00006,0.00106,0.00015,0.00781,0.00887,0.00974,256 (-255),256 (-255)
cod93,0.00098,0.00010,0.00093,0.00029,0.03178,0.03271,0.03431,512 (-511),512 (-511)
codbt111,0.00004,0.00004,0.00087,0.00002,0.00032,0.00119,0.00136,6 (-5),6 (-5)
codbt112,0.00004,0.00001,0.00097,0.00002,0.00025,0.00122,0.00142,6 (-5),6 (-5)
codbt113,0.00002,0.00001,0.00079,0.00002,0.00031,0.00110,0.00128,6 (-5),6 (-5)
codbt114,0.00002,0.00001,0.00079,0.00001,0.00023,0.00103,0.00117,6 (-5),6 (-5)
codbt121,0.00004,0.00001,0.00089,0.00003,0.00037,0.00127,0.00146,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00097,0.00002,0.00040,0.00137,0.00158,18 (-17),18 (-17)
codbt123,0.00003,0.00001,0.00085,0.00002,0.00034,0.00118,0.00140,18 (-17),18 (-17)
codbt124,0.00003,0.00002,0.00091,0.00002,0.00030,0.00121,0.00140,18 (-17),18 (-17)
codbt131,0.00010,0.00003,0.00085,0.00004,0.00078,0.00163,0.00193,54 (-53),54 (-53)
codbt132,0.00015,0.00003,0.00090,0.00006,0.00121,0.00211,0.00248,54 (-53),54 (-53)
codbt133,0.00015,0.00003,0.00089,0.00005,0.00105,0.00193,0.00230,54 (-53),54 (-53)
codbt134,0.00011,0.00002,0.00097,0.00008,0.00086,0.00183,0.00220,54 (-53),54 (-53)
codbt141,0.00031,0.00005,0.00080,0.00013,0.00305,0.00385,0.00453,162 (-161),162 (-161)
codbt142,0.00065,0.00005,0.00097,0.00012,0.00641,0.00738,0.00837,162 (-161),162 (-161)
codbt143,0.00107,0.00008,0.00068,0.00015,0.00931,0.00999,0.01156,162 (-161),162 (-161)
codbt144,0.00088,0.00006,0.00096,0.00015,0.00815,0.00911,0.01041,162 (-161),162 (-161)
codbt151,0.00093,0.00008,0.00092,0.00027,0.03831,0.03922,0.04072,486 (-485),486 (-485)
codbt152,0.00378,0.00018,0.00069,0.00053,0.08024,0.08093,0.08614,486 (-485),486 (-485)
codbt153,0.00716,0.00031,0.00096,0.00070,0.16740,0.16837,0.17764,486 (-485),486 (-485)
codbt154,0.00838,0.00029,0.00094,0.00096,0.22189,0.22283,0.23381,486 (-485),486 (-485)
codbt161,0.00400,0.00028,0.00112,0.00090,0.81856,0.81968,0.82564,1458 (-1457),1458 (-1457)
codbt162,0.01424,0.00064,0.00083,0.00158,3.30306,3.30389,3.32261,1458 (-1457),1458 (-1457)
codbt163,0.03779,0.00118,0.00084,0.00348,4.61605,4.61689,4.66503,1458 (-1457),1458 (-1457)
codbt164,0.06936,0.00204,0.00107,0.00570,3.50708,3.50815,3.59386,1458 (-1457),1458 (-1457)
codbt171,0.01291,0.00069,0.00096,0.00557,24.07065,24.07161,24.09301,4374 (-4373),4374 (-4373)
codbt172,0.06149,0.00169,0.00074,0.01121,208.62618,208.62693,208.70837,4374 (-4373),4374 (-4373)
codbt173,0.20433,0.00447,0.00086,0.03000,80.23180,80.23266,80.49726,4374 (-4373),4374 (-4373)
codbt174,0.45969,0.00926,0.00084,0.06279,94.77931,94.78015,95.37160,4374 (-4373),4374 (-4373)
codbt211,0.00009,0.00003,0.00199,0.00007,0.00079,0.00277,0.00313,12 (-11),12 (-11)
codbt212,0.00005,0.00003,0.00076,0.00002,0.00035,0.00111,0.00128,12 (-11),12 (-11)
codbt221,0.00007,0.00002,0.00069,0.00003,0.00070,0.00139,0.00165,36 (-35),36 (-35)
codbt222,0.00015,0.00004,0.00200,0.00006,0.00095,0.00294,0.00343,36 (-35),36 (-35)
codbt231,0.00031,0.00007,0.00211,0.00018,0.00279,0.00491,0.00571,108 (-107),108 (-107)
codbt232,0.00053,0.00007,0.00130,0.00012,0.00516,0.00647,0.00736,108 (-107),108 (-107)
codbt241,0.00075,0.00007,0.00074,0.00027,0.01768,0.01843,0.01978,324 (-323),324 (-323)
codbt242,0.00281,0.00010,0.00175,0.00036,0.03188,0.03363,0.03742,324 (-323),324 (-323)
codbt251,0.00430,0.00030,0.00169,0.00080,0.31959,0.32128,0.32757,972 (-971),972 (-971)
codbt252,0.01044,0.00047,0.00450,0.00111,0.69745,0.70196,0.71595,972 (-971),972 (-971)
codbt261,0.01137,0.00062,0.00192,0.00500,7.55281,7.55473,7.57438,2916 (-2915),2916 (-2915)
codbt262,0.04127,0.00166,0.00137,0.00553,47.76196,47.76332,47.81803,2916 (-2915),2916 (-2915)
codbt341,0.00128,0.00015,0.00088,0.00036,0.05617,0.05705,0.05914,648 (-647),648 (-647)
codbt342,0.00415,0.00019,0.00106,0.00065,0.15285,0.15391,0.15970,648 (-647),648 (-647)
