Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
30_70_45_095_100,0.00508,0.00463,2.50981,0.00535,0.01145,2.52126,2.53897,10976 (-1),12526 (-1)
ash608gpia-3col,0.01098,0.00364,0.01688,0.01033,0.04563,0.06251,0.09141,3651 (-2434),24748 (-15688)
core2536-691,0.01587,0.00541,1.23936,0.00510,0.00561,1.24497,1.27627,15293 (-9),2539 (-45)
core4872-1529,0.03767,0.00841,3.41553,0.03143,0.05611,3.47164,3.56564,24656 (-245),4875 (-78)
ex1010-pi,0.20932,0.00657,0.54539,0.30145,0.41588,0.96127,1.55920,25200 (-3464),1468 (-0)
ex9,0.07994,0.00934,0.81639,0.04643,3.62103,4.43742,4.59758,10404 (-7827),40962 (-30783)
neos-1601936,0.01014,0.00225,0.62604,0.01049,0.01732,0.64336,0.67106,4446 (-406),3131 (-15)
neos-476283,0.26170,0.05023,27.15037,0.06581,0.15114,27.30151,27.76652,11915 (-85),10015 (-27)
neos-738098,0.02820,0.00263,0.03362,0.06511,0.30235,0.33597,0.44405,9093 (-8037),25849 (-24389)
neos-932816,0.56853,0.01107,1.57103,0.06523,0.49233,2.06336,2.88073,21007 (-13513),30823 (-21160)
neos-935627,0.05080,0.00273,0.20444,0.13880,0.36652,0.57096,0.79112,10301 (-6467),7859 (-4219)
neos-935769,0.04547,0.00232,0.16650,0.12683,0.27276,0.43927,0.63940,9799 (-6201),6741 (-3279)
neos-937511,0.05372,0.00291,0.22489,0.15260,0.32287,0.54776,0.78718,11332 (-6928),8158 (-3961)
neos-937815,0.06127,0.00320,0.33449,0.15960,0.43868,0.77316,1.03039,11646 (-6578),9251 (-4565)
neos-941262,0.04785,0.00247,0.34224,0.11599,0.31194,0.65419,0.84446,9480 (-5090),6703 (-2900)
neos-948126,0.04454,0.00243,0.28091,0.11887,0.32630,0.60721,0.79629,9551 (-5520),7271 (-3574)
neos-984165,0.03962,0.00247,0.32354,0.10606,0.34516,0.66871,0.83727,8883 (-4841),6962 (-3188)
ns1856153,0.03373,0.00750,0.30583,0.02135,0.08917,0.39500,0.46761,11998 (-5551),35407 (-16464)
ns894236,0.00614,0.00366,0.90163,0.01063,0.01768,0.91931,0.94302,9666 (-209),8218 (-605)
queens-30,0.00874,0.00060,0.00993,0.00227,1.32356,1.33349,1.34703,900 (-780),960 (-840)
ramos3,0.00553,0.00034,0.00107,0.00287,1.34044,1.34151,1.35130,2187 (-2186),2187 (-2186)
t1717,7.37426,0.01204,0.58263,12.75561,7.80628,8.38891,33.13548,73885 (-57380),551 (-0)
t1722,1.75179,0.00582,0.22870,2.68772,1.57151,1.80021,7.14555,36630 (-27542),338 (-0)
