Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
30_70_45_095_100,0.00508,0.00473,2.43137,0.00533,0.01056,2.44193,2.45989,10976 (-1),12526 (-1)
ash608gpia-3col,0.01186,0.00366,0.01677,0.01036,0.04409,0.06087,0.09061,3651 (-2434),24748 (-15688)
core2536-691,0.01471,0.00546,1.22643,0.00513,0.00548,1.23191,1.26224,15293 (-9),2539 (-45)
core4872-1529,0.03662,0.00841,3.48753,0.00846,0.01754,3.50507,3.56971,24656 (-245),4875 (-78)
ex1010-pi,0.18959,0.00652,0.51911,0.01365,0.02368,0.54278,0.79547,25200 (-3464),1468 (-0)
ex9,0.08178,0.01007,0.82777,0.03294,3.69366,4.52142,4.66688,10404 (-7827),40962 (-30783)
neos-1601936,0.01029,0.00223,0.62570,0.00197,0.00552,0.63123,0.64861,4446 (-406),3131 (-15)
neos-476283,0.26775,0.05122,27.24678,0.03556,0.08854,27.33532,27.76402,11915 (-85),10015 (-27)
neos-738098,0.02728,0.00264,0.03382,0.03620,0.29433,0.32815,0.40243,9093 (-8037),25849 (-24389)
neos-932816,0.56970,0.00957,1.61152,0.04998,0.50913,2.12064,2.91780,21007 (-13513),30823 (-21160)
neos-935627,0.04965,0.00264,0.20582,0.01939,0.26980,0.47562,0.56325,10301 (-6467),7859 (-4219)
neos-935769,0.04342,0.00249,0.17337,0.02066,0.17135,0.34472,0.42528,9799 (-6201),6741 (-3279)
neos-937511,0.05011,0.00284,0.21817,0.02042,0.19838,0.41655,0.50555,11332 (-6928),8158 (-3961)
neos-937815,0.05880,0.00324,0.33386,0.02325,0.31161,0.64547,0.74785,11646 (-6578),9251 (-4565)
neos-941262,0.04671,0.00250,0.34868,0.01764,0.22812,0.57680,0.65736,9480 (-5090),6703 (-2900)
neos-948126,0.04306,0.00256,0.29839,0.01813,0.24670,0.54510,0.62257,9551 (-5520),7271 (-3574)
neos-984165,0.03659,0.00254,0.33097,0.01438,0.26778,0.59875,0.66234,8883 (-4841),6962 (-3188)
ns1856153,0.03312,0.00755,0.31475,0.02163,0.08823,0.40298,0.47464,11998 (-5551),35407 (-16464)
ns894236,0.00669,0.00353,0.91477,0.00385,0.00688,0.92165,0.93865,9666 (-209),8218 (-605)
queens-30,0.00863,0.00068,0.00976,0.00215,1.28254,1.29231,1.30569,900 (-780),960 (-840)
ramos3,0.00513,0.00033,0.00071,0.00267,1.31006,1.31077,1.31993,2187 (-2186),2187 (-2186)
t1717,6.79832,0.01211,0.57559,0.14137,0.63515,1.21074,10.89317,73885 (-57380),551 (-0)
t1722,1.58456,0.00597,0.23739,0.06439,0.14635,0.38375,2.55042,36630 (-27542),338 (-0)
