Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00206,0.00019,0.00098,0.00135,0.19148,0.19246,0.19654,1024 (-1023),1024 (-1023)
cod105,0.00813,0.00036,0.00062,0.00243,0.21339,0.21401,0.22637,1024 (-1023),1024 (-1023)
cod733,0.00496,0.00040,0.00085,0.00171,1.30029,1.30114,1.30951,2187 (-2186),2187 (-2186)
cod83,0.00047,0.00006,0.00075,0.00025,0.00921,0.00997,0.01091,256 (-255),256 (-255)
cod93,0.00123,0.00011,0.00108,0.00070,0.02619,0.02727,0.03089,512 (-511),512 (-511)
codbt111,0.00003,0.00003,0.00060,0.00002,0.00033,0.00092,0.00114,6 (-5),6 (-5)
codbt112,0.00002,0.00001,0.00075,0.00002,0.00024,0.00099,0.00115,6 (-5),6 (-5)
codbt113,0.00002,0.00003,0.00073,0.00002,0.00033,0.00106,0.00122,6 (-5),6 (-5)
codbt114,0.00002,0.00003,0.00081,0.00001,0.00022,0.00103,0.00118,6 (-5),6 (-5)
codbt121,0.00006,0.00001,0.00081,0.00002,0.00033,0.00115,0.00134,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00079,0.00003,0.00040,0.00119,0.00141,18 (-17),18 (-17)
codbt123,0.00005,0.00002,0.00051,0.00004,0.00093,0.00144,0.00169,18 (-17),18 (-17)
codbt124,0.00003,0.00003,0.00075,0.00003,0.00030,0.00105,0.00129,18 (-17),18 (-17)
codbt131,0.00009,0.00003,0.00078,0.00004,0.00126,0.00204,0.00240,54 (-53),54 (-53)
codbt132,0.00016,0.00002,0.00093,0.00005,0.00111,0.00204,0.00243,54 (-53),54 (-53)
codbt133,0.00021,0.00004,0.00101,0.00006,0.00127,0.00228,0.00274,54 (-53),54 (-53)
codbt134,0.00008,0.00002,0.00062,0.00004,0.00120,0.00183,0.00207,54 (-53),54 (-53)
codbt141,0.00028,0.00004,0.00068,0.00017,0.00461,0.00530,0.00597,162 (-161),162 (-161)
codbt142,0.00088,0.00006,0.00157,0.00026,0.00702,0.00859,0.01003,162 (-161),162 (-161)
codbt143,0.00118,0.00007,0.00107,0.00026,0.00812,0.00919,0.01097,162 (-161),162 (-161)
codbt144,0.00120,0.00007,0.00060,0.00029,0.01119,0.01180,0.01364,162 (-161),162 (-161)
codbt151,0.00116,0.00011,0.00080,0.00062,0.03540,0.03620,0.03838,486 (-485),486 (-485)
codbt152,0.00407,0.00021,0.00070,0.00087,0.07479,0.07549,0.08130,486 (-485),486 (-485)
codbt153,0.00835,0.00039,0.00085,0.00140,0.11675,0.11760,0.12888,486 (-485),486 (-485)
codbt154,0.00969,0.00039,0.00084,0.00176,0.18271,0.18355,0.19720,486 (-485),486 (-485)
codbt161,0.00465,0.00030,0.00098,0.00151,0.66754,0.66852,0.67574,1458 (-1457),1458 (-1457)
codbt162,0.01635,0.00067,0.00092,0.00431,1.81661,1.81753,1.84141,1458 (-1457),1458 (-1457)
codbt163,0.03682,0.00112,0.00063,0.00813,2.79923,2.79987,2.85130,1458 (-1457),1458 (-1457)
codbt164,0.06860,0.00199,0.00070,0.01068,3.58727,3.58797,3.67898,1458 (-1457),1458 (-1457)
codbt171,0.01358,0.00074,0.00088,0.00683,24.20395,24.20483,24.22832,4374 (-4373),4374 (-4373)
codbt172,0.06120,0.00172,0.00061,0.01313,134.98786,134.98846,135.07230,4374 (-4373),4374 (-4373)
codbt173,0.19550,0.00478,0.00061,0.03199,88.50557,88.50619,88.76646,4374 (-4373),4374 (-4373)
codbt174,0.50383,0.01145,0.00108,0.07214,100.77376,100.77484,101.43798,4374 (-4373),4374 (-4373)
codbt211,0.00004,0.00002,0.00068,0.00002,0.00033,0.00101,0.00120,12 (-11),12 (-11)
codbt212,0.00010,0.00005,0.00121,0.00003,0.00048,0.00169,0.00207,12 (-11),12 (-11)
codbt221,0.00006,0.00002,0.00077,0.00003,0.00065,0.00142,0.00166,36 (-35),36 (-35)
codbt222,0.00009,0.00003,0.00064,0.00004,0.00066,0.00130,0.00158,36 (-35),36 (-35)
codbt231,0.00030,0.00004,0.00113,0.00029,0.00242,0.00355,0.00441,108 (-107),108 (-107)
codbt232,0.00039,0.00004,0.00082,0.00010,0.00392,0.00474,0.00548,108 (-107),108 (-107)
codbt241,0.00061,0.00007,0.00072,0.00033,0.01199,0.01271,0.01394,324 (-323),324 (-323)
codbt242,0.00231,0.00013,0.00108,0.00048,0.02657,0.02766,0.03101,324 (-323),324 (-323)
codbt251,0.00251,0.00017,0.00099,0.00139,0.16971,0.17070,0.17534,972 (-971),972 (-971)
codbt252,0.00922,0.00069,0.00131,0.00274,0.52676,0.52807,0.54223,972 (-971),972 (-971)
codbt261,0.00833,0.00051,0.00068,0.00389,5.47746,5.47814,5.49237,2916 (-2915),2916 (-2915)
codbt262,0.05355,0.00250,0.00107,0.01240,56.64822,56.64929,56.72538,2916 (-2915),2916 (-2915)
codbt341,0.00138,0.00015,0.00055,0.00115,0.05345,0.05400,0.05712,648 (-647),648 (-647)
