Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00186,0.00017,0.00085,0.00133,0.18742,0.18827,0.19208,1024 (-1023),1024 (-1023)
cod105,0.00716,0.00040,0.00079,0.00232,0.21088,0.21167,0.22298,1024 (-1023),1024 (-1023)
cod733,0.00455,0.00038,0.00077,0.00160,1.27454,1.27531,1.28276,2187 (-2186),2187 (-2186)
cod83,0.00045,0.00007,0.00076,0.00044,0.00712,0.00789,0.00901,256 (-255),256 (-255)
cod93,0.00089,0.00010,0.00100,0.00080,0.02313,0.02413,0.02621,512 (-511),512 (-511)
codbt111,0.00003,0.00002,0.00090,0.00004,0.00072,0.00162,0.00183,6 (-5),6 (-5)
codbt112,0.00003,0.00003,0.00089,0.00002,0.00049,0.00138,0.00163,6 (-5),6 (-5)
codbt113,0.00003,0.00003,0.00094,0.00004,0.00091,0.00186,0.00210,6 (-5),6 (-5)
codbt114,0.00002,0.00002,0.00091,0.00004,0.00095,0.00186,0.00211,6 (-5),6 (-5)
codbt121,0.00006,0.00002,0.00088,0.00005,0.00069,0.00157,0.00182,18 (-17),18 (-17)
codbt122,0.00006,0.00002,0.00094,0.00005,0.00072,0.00167,0.00192,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00085,0.00004,0.00065,0.00150,0.00171,18 (-17),18 (-17)
codbt124,0.00005,0.00002,0.00085,0.00009,0.00167,0.00251,0.00285,18 (-17),18 (-17)
codbt131,0.00010,0.00002,0.00095,0.00011,0.00137,0.00232,0.00276,54 (-53),54 (-53)
codbt132,0.00014,0.00002,0.00090,0.00008,0.00121,0.00211,0.00252,54 (-53),54 (-53)
codbt133,0.00018,0.00003,0.00097,0.00012,0.00140,0.00237,0.00288,54 (-53),54 (-53)
codbt134,0.00011,0.00003,0.00100,0.00011,0.00133,0.00234,0.00275,54 (-53),54 (-53)
codbt141,0.00026,0.00004,0.00085,0.00019,0.00370,0.00454,0.00522,162 (-161),162 (-161)
codbt142,0.00069,0.00005,0.00099,0.00033,0.00489,0.00588,0.00717,162 (-161),162 (-161)
codbt143,0.00134,0.00006,0.00087,0.00042,0.00667,0.00753,0.00965,162 (-161),162 (-161)
codbt144,0.00115,0.00007,0.00104,0.00044,0.00747,0.00851,0.01045,162 (-161),162 (-161)
codbt151,0.00093,0.00008,0.00102,0.00054,0.03343,0.03445,0.03629,486 (-485),486 (-485)
codbt152,0.00297,0.00016,0.00084,0.00100,0.07345,0.07429,0.07897,486 (-485),486 (-485)
codbt153,0.00656,0.00028,0.00075,0.00147,0.11713,0.11788,0.12734,486 (-485),486 (-485)
codbt154,0.00896,0.00031,0.00106,0.00183,0.12767,0.12873,0.14151,486 (-485),486 (-485)
codbt161,0.00372,0.00025,0.00099,0.00147,0.62051,0.62151,0.62764,1458 (-1457),1458 (-1457)
codbt162,0.01501,0.00053,0.00079,0.00356,1.80965,1.81044,1.83174,1458 (-1457),1458 (-1457)
codbt163,0.03826,0.00089,0.00075,0.00648,2.77801,2.77876,2.82929,1458 (-1457),1458 (-1457)
codbt164,0.06575,0.00197,0.00058,0.01045,3.49587,3.49645,3.58405,1458 (-1457),1458 (-1457)
codbt171,0.01207,0.00071,0.00083,0.00620,29.13997,29.14080,29.16195,4374 (-4373),4374 (-4373)
codbt172,0.05975,0.00173,0.00086,0.01070,207.58181,207.58267,207.66217,4374 (-4373),4374 (-4373)
codbt173,0.22005,0.00470,0.00086,0.03612,77.85366,77.85451,78.14092,4374 (-4373),4374 (-4373)
codbt174,0.54048,0.01086,0.00096,0.07000,98.47792,98.47888,99.16329,4374 (-4373),4374 (-4373)
codbt211,0.00006,0.00002,0.00065,0.00005,0.00087,0.00152,0.00179,12 (-11),12 (-11)
codbt212,0.00007,0.00002,0.00075,0.00006,0.00072,0.00147,0.00178,12 (-11),12 (-11)
codbt221,0.00006,0.00002,0.00077,0.00006,0.00088,0.00165,0.00193,36 (-35),36 (-35)
codbt222,0.00010,0.00005,0.00089,0.00007,0.00095,0.00184,0.00222,36 (-35),36 (-35)
codbt231,0.00018,0.00003,0.00097,0.00020,0.00244,0.00341,0.00402,108 (-107),108 (-107)
codbt232,0.00046,0.00004,0.00100,0.00021,0.00311,0.00411,0.00506,108 (-107),108 (-107)
codbt241,0.00062,0.00011,0.00097,0.00037,0.01106,0.01203,0.01333,324 (-323),324 (-323)
codbt242,0.00197,0.00011,0.00104,0.00064,0.03264,0.03367,0.03685,324 (-323),324 (-323)
codbt251,0.00204,0.00016,0.00097,0.00132,0.16773,0.16869,0.17274,972 (-971),972 (-971)
codbt252,0.00776,0.00038,0.00096,0.00260,0.52793,0.52889,0.54097,972 (-971),972 (-971)
codbt261,0.00777,0.00052,0.00095,0.00446,5.74323,5.74418,5.75849,2916 (-2915),2916 (-2915)
codbt262,0.03958,0.00171,0.00112,0.00986,29.95873,29.95986,30.01715,2916 (-2915),2916 (-2915)
codbt341,0.00126,0.00012,0.00082,0.00089,0.05227,0.05309,0.05570,648 (-647),648 (-647)
codbt342,0.00418,0.00022,0.00091,0.00158,0.14958,0.15049,0.15741,648 (-647),648 (-647)
codbt451,0.00972,0.00066,0.00092,0.00474,33.68838,33.68929,33.70628,3888 (-3887),3888 (-3887)
codbt452,0.05043,0.00166,0.00063,0.01104,92.02881,92.02944,92.09974,3888 (-3887),3888 (-3887)
codbt453,0.14857,0.00411,0.00074,0.02413,45.94787,45.94862,46.14305,3888 (-3887),3888 (-3887)
codbt511,0.00022,0.00004,0.00084,0.00026,0.00228,0.00311,0.00383,96 (-95),96 (-95)
codbt512,0.00029,0.00003,0.00089,0.00023,0.00224,0.00314,0.00389,96 (-95),96 (-95)
codbt521,0.00048,0.00006,0.00070,0.00046,0.00903,0.00973,0.01089,288 (-287),288 (-287)
codbt522,0.00121,0.00010,0.00094,0.00049,0.01927,0.02021,0.02241,288 (-287),288 (-287)
codbt531,0.00179,0.00014,0.00102,0.00110,0.12960,0.13062,0.13403,864 (-863),864 (-863)
codbt532,0.00593,0.00029,0.00080,0.00186,0.35737,0.35817,0.36727,864 (-863),864 (-863)
codbt711,0.00069,0.00009,0.00089,0.00072,0.01723,0.01813,0.01988,384 (-383),384 (-383)
codbt712,0.00211,0.00013,0.00102,0.00079,0.02591,0.02693,0.03045,384 (-383),384 (-383)
codbt721,0.00241,0.00023,0.00099,0.00183,0.35486,0.35585,0.36095,1152 (-1151),1152 (-1151)
codbt722,0.00909,0.00046,0.00098,0.00245,0.70979,0.71077,0.72423,1152 (-1151),1152 (-1151)
codbt731,0.00913,0.00054,0.00094,0.00529,11.53028,11.53122,11.54801,3456 (-3455),3456 (-3455)
codbt732,0.03998,0.00111,0.00096,0.00880,21.29263,21.29359,21.34915,3456 (-3455),3456 (-3455)
codbt811,0.00176,0.00014,0.00100,0.00146,0.06282,0.06382,0.06768,768 (-767),768 (-767)
codbt812,0.00455,0.00020,0.00077,0.00174,0.22015,0.22092,0.22829,768 (-767),768 (-767)
codbt821,0.00551,0.00036,0.00076,0.00312,4.66263,4.66339,4.67344,2304 (-2303),2304 (-2303)
codbt822,0.02234,0.00071,0.00068,0.00509,5.18502,5.18570,5.21698,2304 (-2303),2304 (-2303)
codbt831,0.02165,0.00111,0.00078,0.00972,143.79179,143.79257,143.82831,6912 (-6911),6912 (-6911)
codbt832,0.09616,0.00198,0.00074,0.01857,222.23465,222.23539,222.36393,6912 (-6911),6912 (-6911)
cov1052,0.00035,0.00007,0.00078,0.00027,0.00212,0.00290,0.00381,252 (-251),45 (-44)
cov1053,0.00048,0.00005,0.00075,0.00031,0.00456,0.00531,0.00633,252 (-251),120 (-119)
cov1054,0.00031,0.00004,0.00097,0.00029,0.00530,0.00626,0.00706,252 (-251),210 (-209)
cov1063,0.00058,0.00005,0.00100,0.00034,0.00519,0.00618,0.00739,210 (-209),120 (-119)
cov1064,0.00055,0.00006,0.00102,0.00037,0.00563,0.00665,0.00781,210 (-209),210 (-209)
cov1065,0.00026,0.00005,0.00099,0.00027,0.00414,0.00513,0.00594,210 (-209),252 (-251)
cov1074,0.00067,0.00006,0.00077,0.00037,0.00417,0.00494,0.00629,120 (-119),210 (-209)
cov1075,0.00037,0.00004,0.00081,0.00035,0.00320,0.00401,0.00505,120 (-119),252 (-251)
cov1076,0.00021,0.00004,0.00091,0.00030,0.00222,0.00313,0.00388,120 (-119),210 (-209)
cov1163,0.00122,0.00007,0.00064,0.00061,0.01075,0.01138,0.01368,462 (-461),165 (-164)
cov1164,0.00099,0.00008,0.00073,0.00061,0.03063,0.03137,0.03334,462 (-461),330 (-329)
cov1165,0.00065,0.00008,0.00088,0.00055,0.01530,0.01618,0.01770,462 (-461),462 (-461)
cov1174,0.00140,0.00008,0.00093,0.00063,0.01820,0.01914,0.02180,330 (-329),330 (-329)
cov1175,0.00096,0.00008,0.00078,0.00050,0.01471,0.01549,0.01725,330 (-329),462 (-461)
cov1176,0.00040,0.00007,0.00082,0.00029,0.00817,0.00899,0.00993,330 (-329),462 (-461)
cov1185,0.00117,0.00007,0.00095,0.00070,0.00699,0.00794,0.01023,165 (-164),462 (-461)
cov1186,0.00070,0.00006,0.00094,0.00055,0.00476,0.00569,0.00725,165 (-164),462 (-461)
cov1187,0.00034,0.00005,0.00085,0.00050,0.00280,0.00365,0.00479,165 (-164),330 (-329)
cov1274,0.00436,0.00021,0.00088,0.00144,0.11041,0.11129,0.11819,792 (-791),495 (-494)
cov1275,0.00266,0.00015,0.00100,0.00115,0.18581,0.18682,0.19135,792 (-791),792 (-791)
cov1276,0.00126,0.00014,0.00107,0.00107,0.04865,0.04972,0.05252,792 (-791),924 (-923)
cov1285,0.00344,0.00018,0.00101,0.00130,0.05633,0.05734,0.06301,495 (-494),792 (-791)
cov1286,0.00196,0.00014,0.00086,0.00130,0.03204,0.03290,0.03690,495 (-494),924 (-923)
