Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run
30_70_45_095_100,0.01,0.01,2.83,0.01,0.02,2.85,2.88
ash608gpia-3col,0.02,0.01,0.05,0.01,0.06,0.12,0.18
core2536-691,0.02,0.01,1.98,0.01,0.01,1.99,2.04
core4872-1529,0.04,0.02,5.23,0.01,0.03,5.26,5.35
ex1010-pi,0.22,0.01,0.63,0.02,0.03,0.67,0.98
ex9,0.10,0.02,1.07,0.04,2.43,3.49,3.73
neos-1601936,0.01,0.00,0.78,0.00,0.01,0.79,0.82
neos-476283,0.35,0.11,49.53,0.07,0.17,49.70,50.51
neos-738098,0.03,0.01,0.07,0.04,0.29,0.36,0.50
neos-932816,0.59,0.02,2.14,0.06,0.35,2.48,3.31
neos-935627,0.06,0.00,0.24,0.02,0.26,0.50,0.61
neos-935769,0.06,0.00,0.26,0.02,0.18,0.44,0.55
neos-937511,0.06,0.00,0.29,0.02,0.22,0.51,0.62
neos-937815,0.06,0.00,0.40,0.02,0.27,0.67,0.79
neos-941262,0.05,0.00,0.41,0.02,0.16,0.58,0.68
neos-948126,0.05,0.00,0.35,0.02,0.20,0.55,0.65
neos-984165,0.04,0.00,0.38,0.02,0.19,0.57,0.66
ns1856153,0.04,0.01,0.50,0.03,0.12,0.62,0.73
ns894236,0.01,0.01,1.09,0.01,0.01,1.10,1.13
queens-30,0.01,0.00,0.04,0.00,1.51,1.54,2.42
ramos3,0.01,0.00,0.03,0.00,1.53,1.55,1.71
t1717,6.44,0.02,0.68,0.15,0.77,1.45,9.54
t1722,1.56,0.01,0.29,0.06,0.18,0.47,2.48
