Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run
cod103,0.0027,0.00043,0.0028,0.002,0.28,0.28,0.36
cod105,0.011,0.0012,0.003,0.003,0.32,0.32,0.41
cod733,0.0074,0.001,0.0029,0.0033,1.7,1.7,1.9
codbt062,0.008,0.00062,0.003,0.0022,0.34,0.34,0.48
codbt063,0.02,0.0015,0.0029,0.0045,0.53,0.53,0.75
codbt071,0.0076,0.00097,0.0029,0.0036,1.3,1.3,1.5
codbt072,0.033,0.0019,0.003,0.0062,10,10,13
codbt073,0.11,0.0057,0.0033,0.018,18,18,23
codbt153,0.0092,0.00082,0.0026,0.0024,0.18,0.19,0.27
codbt161,0.0046,0.00057,0.0028,0.0019,0.99,1,1
codbt162,0.021,0.0015,0.0031,0.0053,3.1,3.1,4
codbt163,0.055,0.003,0.0031,0.01,5.1,5.1,6.9
codbt171,0.019,0.0017,0.0029,0.0075,44,44,48
codbt172,0.096,0.0056,0.0033,0.018,2.3e+02,2.3e+02,2.6e+02
codbt173,0.31,0.015,0.0033,0.06,1.5e+02,1.5e+02,2.2e+02
codbt251,0.0031,0.00046,0.0031,0.0017,0.27,0.28,0.35
codbt252,0.011,0.00096,0.0028,0.0031,0.71,0.71,1
codbt253,0.028,0.0017,0.004,0.0063,1.4,1.4,1.8
codbt342,0.0062,0.00047,0.0036,0.0021,0.25,0.25,0.37
codbt343,0.014,0.001,0.0029,0.0034,0.39,0.4,0.6
codbt441,0.0045,0.00063,0.0029,0.0025,0.51,0.52,0.66
codbt442,0.015,0.001,0.0036,0.004,1.8,1.9,2.3
codbt451,0.016,0.0016,0.003,0.0054,41,41,43
codbt452,0.068,0.0035,0.0041,0.015,1.3e+02,1.3e+02,1.5e+02
codbt453,0.22,0.011,0.0033,0.036,90,90,1.2e+02
codbt531,0.0025,0.00047,0.003,0.0015,0.19,0.19,0.25
codbt532,0.0084,0.00072,0.0028,0.0029,0.5,0.5,0.64
codbt622,0.0043,0.00044,0.003,0.0018,0.15,0.15,0.2
codbt631,0.0057,0.00077,0.0029,0.0031,2.2,2.2,2.5
codbt632,0.023,0.0016,0.0028,0.0067,0.33,0.34,0.46
codbt721,0.0034,0.00051,0.003,0.0023,0.31,0.31,0.38
codbt722,0.012,0.0011,0.0029,0.0041,0.94,0.94,1.2
codbt731,0.013,0.0014,0.0028,0.0063,20,20,23
codbt732,0.052,0.0027,0.0031,0.012,33,34,42
codbt811,0.0021,0.00033,0.003,0.0017,0.099,0.1,0.14
codbt812,0.0063,0.00049,0.0027,0.0026,0.31,0.31,0.43
codbt821,0.0074,0.00095,0.0029,0.0044,5,5.1,5.6
codbt822,0.031,0.0016,0.0039,0.0084,9.5,9.5,12
codbt911,0.0043,0.00059,0.0025,0.0038,0.05,0.052,0.073
codbt912,0.017,0.0011,0.0028,0.0052,2.6,2.6,3.6
cov1274,0.0052,0.00053,0.0032,0.0023,0.17,0.17,0.21
cov1275,0.0036,0.00039,0.004,0.0016,0.27,0.27,0.31
cov1385,0.014,0.0012,0.0031,0.0048,0.74,0.74,0.98
cov1386,0.0079,0.00071,0.0029,0.0038,0.47,0.48,0.6
cov1387,0.0028,0.00051,0.0026,0.0025,0.18,0.18,0.21
cov1396,0.011,0.00093,0.003,0.0042,0.25,0.26,0.37
cov1397,0.0054,0.0006,0.0027,0.0029,0.12,0.12,0.16
cov14107,0.025,0.0017,0.0028,0.0085,0.52,0.53,0.73
cov14108,0.0095,0.00089,0.003,0.0043,0.33,0.33,0.42
cov1496,0.033,0.0018,0.003,0.0093,4.6,4.6,6.4
cov1497,0.016,0.0013,0.0038,0.0067,2.1,2.1,2.3
cov1498,0.0053,0.00092,0.0029,0.0043,0.37,0.38,0.41
cov15107,0.068,0.0044,0.0032,0.014,24,24,26
cov15108,0.032,0.0019,0.0028,0.012,8.1,8.1,9.1
cov15109,0.0092,0.0013,0.003,0.0071,1.1,1.1,1.2
cov151110,0.0043,0.0007,0.0026,0.0044,0.11,0.12,0.14
cov15118,0.046,0.0035,0.0031,0.014,1.2,1.2,1.7
cov15119,0.018,0.0014,0.003,0.0073,0.47,0.48,0.62
cov161110,0.016,0.0019,0.0027,0.011,1.7,1.7,1.8
cov16118,0.15,0.0075,0.0034,0.038,61,61,85
cov16119,0.057,0.0038,0.003,0.021,18,18,22
cov161210,0.029,0.0022,0.0028,0.012,1.1,1.1,1.4
cov161211,0.0064,0.001,0.0031,0.0057,0.16,0.17,0.2
cov16129,0.086,0.0048,0.0032,0.026,3.5,3.5,4.8
cov161310,0.033,0.0021,0.003,0.014,0.22,0.22,0.34
cov171210,0.099,0.0062,0.003,0.034,68,68,88
cov171211,0.026,0.0027,0.0029,0.018,4.7,4.7,4.8
cov17129,0.31,0.014,0.0032,0.083,3.9e+02,3.9e+02,5.3e+02
cov171310,0.15,0.0079,0.0034,0.048,7.5,7.5,9.5
cov171311,0.044,0.0032,0.003,0.019,2,2,2.5
cov171312,0.011,0.0012,0.0029,0.0095,0.27,0.28,0.32
cov171411,0.052,0.0034,0.003,0.02,0.32,0.32,0.49
cov171412,0.013,0.0016,0.0028,0.0086,0.11,0.11,0.17
