node, front, label
0, 0, 250
1, 0, 249
2, 0, 248
3, 0, 247
4, 0, 246
5, 0, 245
6, 0, 244
7, 0, 243
8, 0, 242
9, 0, 241
10, 0, 240
11, 0, 227
12, 35, 226
13, 35, 225
14, 35, 224
15, 35, 223
16, 35, 222
17, 35, 221
18, 35, 220
19, 35, 219
20, 35, 218
21, 35, 217
22, 35, 216
23, 35, 11
24, 35, 10
25, 35, 9
26, 35, 8
27, 35, 7
28, 35, 6
29, 35, 5
30, 35, 4
31, 35, 3
32, 35, 2
33, 35, 1
34, 35, 0
35, 35, 215
36, 35, 214
37, 35, 213
38, 35, 212
39, 35, 211
40, 35, 210
41, 35, 209
42, 35, 208
43, 35, 207
44, 35, 206
45, 35, 205
46, 35, 204
47, 35, 203
48, 35, 202
49, 35, 201
50, 35, 200
51, 35, 199
52, 35, 198
53, 35, 197
54, 35, 196
55, 35, 195
56, 35, 194
57, 35, 193
58, 35, 192
59, 35, 191
60, 35, 190
61, 35, 189
62, 35, 188
63, 35, 187
64, 35, 186
65, 35, 185
66, 35, 184
67, 35, 183
68, 35, 182
69, 35, 181
70, 35, 180
71, 35, 179
72, 35, 178
73, 35, 177
74, 35, 176
75, 35, 175
76, 35, 174
77, 35, 173
78, 35, 172
79, 35, 171
80, 35, 170
81, 35, 169
82, 35, 168
83, 35, 167
84, 35, 166
85, 35, 165
86, 35, 164
87, 35, 163
88, 35, 162
89, 35, 161
90, 35, 160
91, 35, 159
92, 35, 158
93, 35, 157
94, 35, 156
95, 35, 155
96, 35, 154
97, 35, 153
98, 35, 152
99, 35, 151
100, 35, 150
101, 35, 149
102, 35, 148
103, 35, 147
104, 35, 146
105, 35, 145
106, 35, 144
107, 35, 143
108, 35, 142
109, 35, 141
110, 35, 140
111, 35, 139
112, 35, 138
113, 35, 137
114, 35, 136
115, 35, 135
116, 35, 134
117, 35, 133
118, 35, 132
119, 35, 131
120, 35, 130
121, 35, 129
122, 35, 128
123, 35, 127
124, 35, 126
125, 35, 125
126, 35, 124
127, 35, 123
128, 35, 122
129, 35, 121
130, 35, 120
131, 35, 119
132, 35, 118
133, 35, 117
134, 35, 116
135, 35, 115
136, 35, 114
137, 35, 113
138, 35, 112
139, 35, 111
140, 35, 110
141, 35, 109
142, 35, 108
143, 35, 107
144, 35, 106
145, 35, 105
146, 35, 104
147, 35, 103
148, 35, 102
149, 35, 101
150, 35, 100
151, 35, 99
152, 35, 98
153, 35, 97
154, 35, 96
155, 35, 95
156, 35, 94
157, 35, 93
158, 35, 92
159, 35, 91
160, 35, 90
161, 35, 89
162, 35, 88
163, 35, 87
164, 35, 86
165, 35, 85
166, 35, 84
167, 35, 83
168, 35, 82
169, 35, 81
170, 35, 80
171, 35, 79
172, 35, 78
173, 35, 77
174, 35, 76
175, 35, 75
176, 35, 74
177, 35, 73
178, 35, 72
179, 35, 71
180, 35, 70
181, 35, 69
182, 35, 68
183, 35, 67
184, 35, 66
185, 35, 65
186, 35, 64
187, 35, 63
188, 35, 62
189, 35, 61
190, 35, 60
191, 35, 59
192, 35, 58
193, 35, 57
194, 35, 56
195, 35, 55
196, 35, 54
197, 35, 53
198, 35, 52
199, 35, 51
200, 35, 50
201, 35, 49
202, 35, 48
203, 35, 47
204, 35, 46
205, 35, 45
206, 35, 44
207, 35, 43
208, 35, 42
209, 35, 41
210, 35, 40
211, 35, 39
212, 35, 38
213, 35, 37
214, 35, 36
215, 35, 35
216, 0, 34
217, 0, 33
218, 0, 32
219, 0, 31
220, 0, 30
221, 0, 29
222, 0, 28
223, 0, 27
224, 0, 26
225, 0, 25
226, 0, 24
227, 0, 23
228, 239, 22
229, 239, 21
230, 239, 20
231, 239, 19
232, 239, 18
233, 239, 17
234, 239, 16
235, 239, 15
236, 239, 14
237, 239, 13
238, 239, 12
239, 239, 239
240, 0, 238
241, 0, 237
242, 0, 236
243, 0, 235
244, 0, 234
245, 0, 233
246, 0, 232
247, 0, 231
248, 0, 230
249, 0, 229
250, 0, 228
251, 251, 454
252, 251, 453
253, 251, 452
254, 251, 451
255, 251, 450
256, 251, 449
257, 251, 448
258, 251, 447
259, 251, 446
260, 251, 445
261, 251, 444
262, 251, 443
263, 251, 442
264, 251, 441
265, 251, 440
266, 251, 439
267, 251, 438
268, 251, 437
269, 251, 436
270, 251, 435
271, 251, 434
272, 251, 433
273, 251, 432
274, 251, 431
275, 251, 430
276, 251, 429
277, 251, 428
278, 251, 427
279, 251, 426
280, 251, 425
281, 251, 424
282, 251, 423
283, 251, 422
284, 251, 421
285, 251, 420
286, 251, 419
287, 251, 418
288, 251, 417
289, 251, 416
290, 251, 415
291, 251, 414
292, 251, 413
293, 251, 412
294, 251, 411
295, 251, 410
296, 251, 409
297, 251, 408
298, 251, 407
299, 251, 406
300, 251, 405
301, 251, 404
302, 251, 403
303, 251, 402
304, 251, 401
305, 251, 400
306, 251, 399
307, 251, 398
308, 251, 397
309, 251, 396
310, 251, 395
311, 251, 394
312, 251, 393
313, 251, 392
314, 251, 391
315, 251, 390
316, 251, 389
317, 251, 388
318, 251, 387
319, 251, 386
320, 251, 385
321, 251, 384
322, 251, 383
323, 251, 382
324, 251, 381
325, 251, 380
326, 251, 379
327, 251, 378
328, 251, 377
329, 251, 376
330, 251, 375
331, 251, 374
332, 251, 373
333, 251, 372
334, 251, 371
335, 251, 370
336, 251, 369
337, 251, 368
338, 251, 367
339, 251, 366
340, 251, 365
341, 251, 364
342, 251, 363
343, 251, 362
344, 251, 361
345, 251, 360
346, 251, 359
347, 251, 358
348, 251, 357
349, 251, 356
350, 251, 355
351, 251, 354
352, 251, 353
353, 251, 352
354, 251, 351
355, 251, 350
356, 251, 349
357, 251, 348
358, 251, 347
359, 251, 346
360, 251, 345
361, 251, 344
362, 251, 343
363, 251, 342
364, 251, 341
365, 251, 340
366, 251, 339
367, 251, 338
368, 251, 337
369, 251, 336
370, 251, 335
371, 251, 334
372, 251, 333
373, 251, 332
374, 251, 331
375, 251, 330
376, 251, 329
377, 251, 328
378, 251, 327
379, 251, 326
380, 251, 325
381, 251, 324
382, 251, 323
383, 251, 322
384, 251, 321
385, 251, 320
386, 251, 319
387, 251, 318
388, 251, 317
389, 251, 316
390, 251, 315
391, 251, 314
392, 251, 313
393, 251, 312
394, 251, 311
395, 251, 310
396, 251, 309
397, 251, 308
398, 251, 307
399, 251, 306
400, 251, 305
401, 251, 304
402, 251, 303
403, 251, 302
404, 251, 301
405, 251, 300
406, 251, 299
407, 251, 298
408, 251, 297
409, 251, 296
410, 251, 295
411, 251, 294
412, 251, 293
413, 251, 292
414, 251, 291
415, 251, 290
416, 251, 289
417, 251, 288
418, 251, 287
419, 251, 286
420, 251, 285
421, 251, 284
422, 251, 283
423, 251, 282
424, 251, 281
425, 251, 280
426, 251, 279
427, 251, 278
428, 251, 277
429, 251, 276
430, 251, 275
431, 251, 274
432, 251, 273
433, 251, 272
434, 251, 271
435, 251, 270
436, 251, 269
437, 251, 268
438, 251, 267
439, 251, 266
440, 251, 265
441, 251, 264
442, 251, 263
443, 251, 262
444, 251, 261
445, 251, 260
446, 251, 259
447, 251, 258
448, 251, 257
449, 251, 256
450, 251, 255
451, 251, 254
452, 251, 253
453, 251, 252
454, 251, 251
455, 455, 3847
456, 455, 3846
457, 455, 3845
458, 455, 3844
459, 455, 3843
460, 455, 3842
461, 455, 3841
462, 455, 3840
463, 455, 3839
464, 455, 3838
465, 455, 3837
466, 455, 3836
467, 455, 3835
468, 455, 3834
469, 455, 3833
470, 455, 3832
471, 455, 3831
472, 455, 3830
473, 455, 3829
474, 455, 3828
475, 455, 3827
476, 455, 3826
477, 455, 3825
478, 455, 3824
479, 455, 3823
480, 455, 3822
481, 455, 3821
482, 455, 3820
483, 455, 3819
484, 455, 3818
485, 455, 3817
486, 455, 3816
487, 455, 3815
488, 455, 3814
489, 455, 3813
490, 455, 3812
491, 455, 3811
492, 455, 3810
493, 455, 3809
494, 455, 3808
495, 455, 3807
496, 455, 3806
497, 455, 3805
498, 455, 3804
499, 455, 3803
500, 455, 3802
501, 455, 3801
502, 455, 3800
503, 455, 3799
504, 455, 3798
505, 455, 3797
506, 455, 3796
507, 455, 3795
508, 455, 3794
509, 455, 3793
510, 455, 3792
511, 455, 3791
512, 455, 3790
513, 455, 3789
514, 455, 3788
515, 455, 3787
516, 455, 3786
517, 455, 3785
518, 455, 3784
519, 455, 3783
520, 455, 3782
521, 455, 3781
522, 455, 3780
523, 455, 3779
524, 455, 3778
525, 455, 3777
526, 455, 3776
527, 455, 3775
528, 455, 3774
529, 455, 3773
530, 455, 3772
531, 455, 3771
532, 455, 3770
533, 455, 3769
534, 455, 3768
535, 455, 3767
536, 455, 3766
537, 455, 3765
538, 455, 3764
539, 455, 3763
540, 455, 3762
541, 455, 3761
542, 455, 3760
543, 455, 3759
544, 455, 3758
545, 455, 3757
546, 455, 3756
547, 455, 3755
548, 455, 3754
549, 455, 3753
550, 455, 3752
551, 455, 3751
552, 455, 3750
553, 455, 3749
554, 455, 3748
555, 455, 3747
556, 455, 3746
557, 455, 3745
558, 455, 3744
559, 455, 3743
560, 455, 3742
561, 455, 3741
562, 455, 3740
563, 455, 3739
564, 455, 3738
565, 455, 3737
566, 455, 3736
567, 455, 3735
568, 455, 3734
569, 455, 3733
570, 455, 3732
571, 455, 3731
572, 455, 3730
573, 455, 3729
574, 455, 3728
575, 455, 3727
576, 455, 3726
577, 455, 3725
578, 455, 3724
579, 455, 3723
580, 455, 3722
581, 455, 3721
582, 455, 3720
583, 455, 3719
584, 455, 3718
585, 455, 3717
586, 455, 3716
587, 455, 3715
588, 455, 3714
589, 455, 3713
590, 455, 3712
591, 455, 3711
592, 455, 3710
593, 455, 3709
594, 455, 3708
595, 455, 3707
596, 455, 3706
597, 455, 3705
598, 455, 3704
599, 455, 3703
600, 455, 3702
601, 455, 3701
602, 455, 3700
