Instance,Solve Time,Highs Run Time,Objective
cod103.mps,1.911035,1.913786,-93.090909
cod105.mps,7.062293,7.068311,-18.285714
cod733.mps,49.239742,49.245955,-145.800000
codbt062.mps,2.827332,2.832075,11.950820
codbt063.mps,3.821061,3.831264,4.527950
codbt071.mps,37.531270,37.536183,145.800000
codbt072.mps,380.409438,380.426931,25.729412
codbt073.mps,642.697006,642.747459,7.782918
codbt153.mps,0.948148,0.953621,4.016529
codbt161.mps,28.804202,28.808494,104.142857
codbt162.mps,53.708034,53.717715,19.972603
codbt163.mps,122.805121,122.833038,6.597285
codbt171.mps,3168.213556,3168.226264,273.375000
codbt172.mps,3618.475703,3618.508926,DUAL AND PRIMAL INCOSISTENT
codbt173.mps,3619.476785,3619.596862,DUAL AND PRIMAL INCOSISTENT
codbt251.mps,3.640851,3.643427,74.769231
codbt252.mps,9.279329,9.285099,15.677419
codbt253.mps,12.895619,12.909402,5.684211
codbt342.mps,1.317223,1.320938,12.461538
codbt343.mps,2.659156,2.666866,4.984615
codbt441.mps,11.224763,11.227687,99.692308
codbt442.mps,30.802580,30.810301,20.571429
codbt451.mps,3613.835241,3613.842537,DUAL AND PRIMAL INCOSISTENT
codbt452.mps,3615.323156,3615.351675,DUAL AND PRIMAL INCOSISTENT
codbt453.mps,3611.955883,3612.052585,DUAL AND PRIMAL INCOSISTENT
codbt531.mps,2.655048,2.660873,72.000000
codbt532.mps,7.356560,7.361827,16.301887
codbt622.mps,1.580399,1.583650,13.090909
codbt631.mps,98.819079,98.825018,132.923077
codbt632.mps,225.958668,225.969726,27.000000
codbt721.mps,7.089655,7.092780,96.000000
codbt722.mps,12.250237,12.256668,21.333333
codbt731.mps,633.269169,633.275924,246.857143
codbt732.mps,3130.358057,3130.379942,45.473684
codbt811.mps,0.870004,0.871932,69.818182
codbt812.mps,2.181679,2.185773,17.066667
codbt821.mps,568.779689,568.784487,177.230769
codbt822.mps,325.026183,325.039465,35.446154
codbt911.mps,17.365730,17.369257,128.000000
codbt912.mps,50.403939,50.412081,27.927273
cov1274.mps,1.073454,1.076748,14.142857
cov1275.mps,1.032770,1.035385,37.714286
cov1385.mps,15.062470,15.069414,22.982143
cov1386.mps,9.923723,9.928444,61.285714
cov1387.mps,1.882426,1.884963,214.500000
cov1396.mps,1.617771,1.623826,20.428571
cov1397.mps,1.038355,1.042121,47.666667
cov14107.mps,5.909456,5.920846,28.600000
cov14108.mps,2.939998,2.945982,66.733333
cov1496.mps,147.707657,147.722463,35.750000
cov1497.mps,76.648359,76.656392,95.333333
cov1498.mps,8.567574,8.571664,333.666667
cov15107.mps,937.138457,937.169795,53.625000
cov15108.mps,423.971051,423.985132,143.000000
cov15109.mps,46.040795,46.047150,500.500000
cov151110.mps,1.610497,1.614085,273.000000
cov15118.mps,19.168343,19.188823,39.000000
cov15119.mps,10.601343,10.610407,91.000000
cov161110.mps,202.912105,202.921110,728.000000
cov16118.mps,3654.911182,3654.968951,DUAL AND PRIMAL INCOSISTENT
cov16119.mps,2858.853699,2858.877509,208.000000
cov161210.mps,37.966806,37.980529,121.333333
cov161211.mps,4.040821,4.045734,364.000000
cov16129.mps,78.165001,78.203696,52.000000
cov161310.mps,1.234109,1.250133,28.000000
cov171210.mps,3671.118046,3671.161318,DUAL AND PRIMAL INCOSISTENT
cov171211.mps,715.052342,715.065569,1031.333333
cov17129.mps,3706.353354,3706.478548,DUAL AND PRIMAL INCOSISTENT
cov171310.mps,2240.383309,2240.444909,68.000000
cov171311.mps,89.129652,89.150720,158.666667
cov171312.mps,10.174880,10.182442,476.000000
cov171411.mps,2.682123,2.706701,34.000000
cov171412.mps,1.024000,1.032278,68.000000
