Instance,Partition Time,Fold LP Time,Solve ALP Time,Lift ALP Time,Solve ELP Time,Total Solve Time,OC Run Time,Objective
cod103.mps,0.001938,0.000080,0.001999,0.000423,0.642698,0.640570,0.646549,-93.090909
cod105.mps,0.005428,0.000366,0.001946,0.000888,1.158682,1.151237,1.166287,-18.285714
cod733.mps,0.004656,0.000217,0.001891,0.000737,4.116096,4.109873,4.122790,-145.800000
codbt062.mps,0.004233,0.000269,0.001915,0.000683,0.801179,0.794633,0.807387,11.950820
codbt063.mps,0.010366,0.000612,0.001507,0.001417,1.063802,1.050126,1.077475,4.527950
codbt071.mps,0.004338,0.000200,0.001819,0.000680,3.927079,3.921325,3.933347,145.800000
codbt072.mps,0.015835,0.000972,0.001405,0.002575,20.836124,20.817725,20.856182,25.729412
codbt073.mps,0.057050,0.003330,0.002116,0.006216,30.009276,29.943800,30.075875,7.782918
codbt153.mps,0.005754,0.000347,0.001928,0.000856,0.347200,0.339467,0.354922,4.016529
codbt161.mps,0.002893,0.000118,0.001958,0.000438,2.408760,2.403404,2.413381,104.142857
codbt162.mps,0.010319,0.000695,0.001440,0.001244,4.918371,4.905099,4.931519,19.972603
codbt163.mps,0.028358,0.001662,0.004536,0.003342,9.207247,9.180133,9.243792,6.597285
codbt171.mps,0.008893,0.000489,0.001868,0.001608,57.669890,57.656777,57.681730,273.375000
codbt172.mps,0.037515,0.002272,0.001333,0.004529,680.654467,680.611807,680.698626,44.181818
codbt173.mps,0.140496,0.007832,0.001630,0.015875,264.976887,264.811872,265.133434,11.983562
codbt251.mps,0.002118,0.000085,0.008444,0.000288,0.697530,0.695090,0.706083,74.769231
codbt252.mps,0.006064,0.000371,0.001636,0.000982,1.452758,1.446923,1.460849,15.677419
codbt253.mps,0.015947,0.000842,0.001605,0.001660,2.070437,2.054866,2.089376,5.684211
codbt342.mps,0.003390,0.000210,0.001759,0.000547,0.353810,0.350537,0.358938,12.461538
codbt343.mps,0.008547,0.000507,0.002038,0.001206,0.665186,0.657904,0.675975,4.984615
codbt441.mps,0.002533,0.000094,0.003345,0.000356,1.332594,1.329474,1.337833,99.692308
codbt442.mps,0.008109,0.000516,0.002067,0.001356,4.952366,4.943774,4.963061,20.571429
codbt451.mps,0.007378,0.000382,0.001732,0.001306,70.689564,70.679395,70.699582,259.200000
codbt452.mps,0.030382,0.001853,0.001592,0.003710,265.080119,265.046867,265.115948,44.689655
codbt453.mps,0.104179,0.006266,0.001800,0.011867,131.336114,131.211035,131.454492,12.747541
codbt531.mps,0.001740,0.000060,0.005469,0.000265,0.535424,0.533270,0.541378,72.000000
codbt532.mps,0.004667,0.000286,0.001611,0.000703,1.349060,1.344160,1.355432,16.301887
codbt622.mps,0.002823,0.000170,0.001724,0.000455,0.371217,0.365802,0.375647,13.090909
codbt631.mps,0.003497,0.000204,0.002325,0.000478,2.972767,2.968656,2.978434,132.923077
codbt632.mps,0.010339,0.000831,0.003625,0.001336,8.811417,8.798926,8.827238,27.000000
codbt721.mps,0.002065,0.000085,0.001761,0.000337,1.209973,1.207128,1.213597,96.000000
codbt722.mps,0.006396,0.000408,0.002367,0.000985,2.047588,2.040885,2.056473,21.333333
codbt731.mps,0.006832,0.000341,0.001998,0.001141,47.100289,47.089489,47.109701,246.857143
codbt732.mps,0.024713,0.001430,0.001355,0.003204,55.590722,55.564999,55.620376,45.473684
codbt811.mps,0.001401,0.000055,0.001726,0.000182,0.348779,0.347296,0.351604,69.818182
codbt812.mps,0.003470,0.000224,0.001696,0.000522,0.636158,0.632653,0.641271,17.066667
codbt821.mps,0.004377,0.000184,0.001577,0.000572,10.714230,10.708863,10.720175,177.230769
codbt822.mps,0.013441,0.000813,0.001343,0.001596,15.294363,15.279546,15.311161,35.446154
codbt911.mps,0.002834,0.000112,0.001845,0.000422,2.153817,2.150278,2.158304,128.000000
codbt912.mps,0.008299,0.000506,0.002237,0.001323,3.840744,3.832753,3.851724,27.927273
cov1274.mps,0.002954,0.000208,0.001550,0.000459,0.288529,0.285572,0.293032,14.142857
cov1275.mps,0.002007,0.000074,0.001619,0.000359,0.343522,0.341245,0.347079,37.714286
cov1385.mps,0.006910,0.000425,0.001526,0.001200,1.453577,1.446228,1.462614,22.982143
cov1386.mps,0.004192,0.000163,0.001559,0.000608,1.515908,1.511492,1.521552,61.285714
cov1387.mps,0.002042,0.000091,0.001519,0.000229,0.209276,0.206741,0.212603,214.500000
cov1396.mps,0.006062,0.000371,0.001707,0.000885,0.444606,0.438832,0.452554,20.428571
cov1397.mps,0.002985,0.000123,0.001704,0.000447,0.227660,0.224498,0.232209,47.666667
cov14107.mps,0.011003,0.000705,0.001243,0.001491,1.237767,1.225400,1.251015,28.600000
cov14108.mps,0.005228,0.000212,0.001821,0.000772,0.486855,0.481083,0.493868,66.733333
cov1496.mps,0.014268,0.000945,0.001165,0.001704,14.531986,14.515401,14.549693,35.750000
cov1497.mps,0.007941,0.000324,0.001723,0.001365,6.943864,6.934619,6.954033,95.333333
cov1498.mps,0.003269,0.000162,0.001959,0.000394,0.405426,0.401080,0.410392,333.666667
cov15107.mps,0.032031,0.001946,0.001448,0.003973,45.706009,45.670282,45.743619,53.625000
cov15108.mps,0.013640,0.000677,0.001496,0.001561,21.938456,21.922078,21.955369,143.000000
cov15109.mps,0.005591,0.000354,0.002038,0.000776,0.829344,0.821473,0.837368,500.500000
cov151110.mps,0.002831,0.000133,0.001728,0.000311,0.084498,0.081114,0.088799,273.000000
cov15118.mps,0.019566,0.001211,0.001215,0.002304,3.421690,3.399862,3.445561,39.000000
cov15119.mps,0.008146,0.000524,0.001808,0.001276,0.803627,0.794466,0.814268,91.000000
cov161110.mps,0.008290,0.000430,0.001880,0.001111,1.385118,1.373776,1.395775,728.000000
cov16118.mps,0.068953,0.003808,0.001408,0.007292,160.114433,160.037133,160.190482,78.000000
cov16119.mps,0.027789,0.001449,0.001474,0.002968,51.148902,51.117143,51.180652,208.000000
cov161210.mps,0.012907,0.000578,0.001359,0.001264,1.378963,1.363953,1.394526,121.333333
cov161211.mps,0.004045,0.000201,0.001746,0.000440,0.129724,0.124556,0.135337,364.000000
cov16129.mps,0.035167,0.002222,0.001321,0.004042,8.283869,8.243853,8.324485,52.000000
cov161310.mps,0.015091,0.000733,0.001348,0.001655,0.280733,0.264240,0.298899,28.000000
cov171210.mps,0.041132,0.002250,0.001414,0.004601,161.451432,161.403385,161.498454,294.666667
cov171211.mps,0.012389,0.000735,0.001322,0.001407,2.681772,2.664964,2.697481,1031.333333
cov17129.mps,0.139071,0.008184,0.001637,0.015856,854.350120,854.205410,854.502111,110.500000
cov171310.mps,0.066796,0.003890,0.001577,0.007066,22.728489,22.657530,22.802975,68.000000
cov171311.mps,0.020665,0.000839,0.001295,0.002137,2.324369,2.301787,2.350274,158.666667
cov171312.mps,0.005908,0.000359,0.001796,0.000700,0.202584,0.190660,0.210477,476.000000
cov171411.mps,0.024412,0.001258,0.001246,0.002729,0.453233,0.428100,0.481373,34.000000
cov171412.mps,0.007419,0.000386,0.001655,0.000936,0.132664,0.124009,0.141984,68.000000
