Instance,Column Reduction (%),Row Reduction (%),Nonzero Reduction (%)
cod103.mps,99.951148,99.951148,99.993023
cod105.mps,99.951148,99.951148,99.998345
cod733.mps,99.977132,99.977132,99.997460
codbt062.mps,99.931366,99.931366,99.997857
codbt063.mps,99.931366,99.931366,99.999164
codbt071.mps,99.977132,99.977132,99.997460
codbt072.mps,99.977132,99.977132,99.999480
codbt073.mps,99.977132,99.977132,99.999839
codbt153.mps,99.897013,99.897013,99.998341
codbt161.mps,99.965695,99.965695,99.995965
codbt162.mps,99.965695,99.965695,99.999098
codbt163.mps,99.965695,99.965695,99.999694
codbt171.mps,99.988568,99.988568,99.998797
codbt172.mps,99.988568,99.988568,99.999776
codbt173.mps,99.988568,99.988568,99.999938
codbt251.mps,99.948533,99.948533,99.993569
codbt252.mps,99.948533,99.948533,99.998417
codbt253.mps,99.948533,99.948533,99.999409
codbt342.mps,99.922780,99.922780,99.997194
codbt343.mps,99.922780,99.922780,99.998840
codbt441.mps,99.961405,99.961405,99.995177
codbt442.mps,99.961405,99.961405,99.998831
codbt451.mps,99.987138,99.987138,99.998571
codbt452.mps,99.987138,99.987138,99.999714
codbt453.mps,99.987138,99.987138,99.999916
codbt531.mps,99.942096,99.942096,99.992282
codbt532.mps,99.942096,99.942096,99.997933
codbt622.mps,99.913119,99.913119,99.996306
codbt631.mps,99.971056,99.971056,99.996383
codbt632.mps,99.971056,99.971056,99.999136
codbt721.mps,99.956578,99.956578,99.994212
codbt722.mps,99.956578,99.956578,99.998477
codbt731.mps,99.985530,99.985530,99.998298
codbt732.mps,99.985530,99.985530,99.999634
codbt811.mps,99.934853,99.934853,99.990697
codbt812.mps,99.934853,99.934853,99.997287
codbt821.mps,99.978294,99.978294,99.997287
codbt822.mps,99.978294,99.978294,99.999362
codbt911.mps,99.967437,99.967437,99.995659
codbt912.mps,99.967437,99.967437,99.998877
cov1274.mps,99.936829,99.922240,99.996677
cov1275.mps,99.936829,99.936829,99.994738
cov1385.mps,99.961135,99.961135,99.998683
cov1386.mps,99.961135,99.966689,99.997493
cov1387.mps,99.961135,99.966689,99.992935
cov1396.mps,99.930021,99.958848,99.998392
cov1397.mps,99.930021,99.958848,99.996413
cov14107.mps,99.950025,99.977437,99.999188
cov14108.mps,99.950025,99.975019,99.997919
cov1496.mps,99.975019,99.980016,99.999426
cov1497.mps,99.975019,99.981594,99.998719
cov1498.mps,99.975019,99.980016,99.995837
cov15107.mps,99.983347,99.989403,99.999729
cov15108.mps,99.983347,99.989403,99.999306
cov15109.mps,99.983347,99.987511,99.997438
cov151110.mps,99.963357,99.977101,99.994766
cov15118.mps,99.963357,99.987178,99.999564
cov15119.mps,99.963357,99.984299,99.998737
cov161110.mps,99.988552,99.991919,99.998365
cov16118.mps,99.988552,99.994199,99.999864
cov16119.mps,99.988552,99.993674,99.999605
cov161210.mps,99.972520,99.989824,99.999204
cov161211.mps,99.972520,99.983837,99.996337
cov16129.mps,99.972520,99.992458,99.999754
cov161310.mps,99.910634,99.988327,99.999382
cov171210.mps,99.991919,99.996099,99.999766
cov171211.mps,99.991919,99.994613,99.998923
cov17129.mps,99.991919,99.996721,99.999928
cov171310.mps,99.978987,99.995419,99.999855
cov171311.mps,99.978987,99.993223,99.999481
cov171312.mps,99.978987,99.988327,99.997374
cov171411.mps,99.926416,99.992340,99.999599
cov171412.mps,99.926416,99.985438,99.998435
