Instance,Crossover Time,Objective
cod103.mps,0.000009,0.000000
cod105.mps,0.540436,0.000000
cod733.mps,1.694675,0.000000
codbt062.mps,0.000008,0.000000
codbt063.mps,0.000007,0.000000
codbt071.mps,1.638622,0.000000
codbt072.mps,0.000016,0.000000
codbt073.mps,0.000014,0.000000
codbt153.mps,0.000005,0.000000
codbt161.mps,0.564276,0.000000
codbt162.mps,0.000018,0.000000
codbt163.mps,0.000011,0.000000
codbt171.mps,0.000049,0.000000
codbt172.mps,193.894811,0.000000
codbt173.mps,0.000029,0.000000
codbt251.mps,0.042881,0.000000
codbt252.mps,0.000008,0.000000
codbt253.mps,0.000009,0.000000
codbt342.mps,0.000007,0.000000
codbt343.mps,0.000006,0.000000
codbt441.mps,0.129396,0.000000
codbt442.mps,2.069148,0.000000
codbt451.mps,15.971602,0.000000
codbt452.mps,101.644058,0.000000
codbt453.mps,0.000031,0.000000
codbt531.mps,0.037300,0.000000
codbt532.mps,0.270377,0.000000
codbt622.mps,0.029213,0.000000
codbt631.mps,0.165120,0.000000
codbt632.mps,0.064269,0.000000
codbt721.mps,0.067566,0.000000
codbt722.mps,0.000010,0.000000
codbt731.mps,8.532805,0.000000
codbt732.mps,0.000028,0.000000
codbt811.mps,0.027139,0.000000
codbt812.mps,0.000008,0.000000
codbt821.mps,0.341357,0.000000
codbt822.mps,0.000016,0.000000
codbt911.mps,0.047150,0.000000
codbt912.mps,0.000013,0.000000
cov1274.mps,0.115333,0.000000
cov1275.mps,0.000008,0.000000
cov1385.mps,0.000012,0.000000
cov1386.mps,0.353683,0.000000
cov1387.mps,0.117292,0.000000
cov1396.mps,1.335975,0.000000
cov1397.mps,0.506727,0.000000
cov14107.mps,7.394449,0.000000
cov14108.mps,1.955263,0.000000
cov1496.mps,5.179861,0.000000
cov1497.mps,3.672627,0.000000
cov1498.mps,0.572067,0.000000
cov15107.mps,464.522919,0.000000
cov15108.mps,148.128237,0.000000
cov15109.mps,2.612695,0.000000
cov151110.mps,0.343319,0.000000
cov15118.mps,39.338111,0.000000
cov15119.mps,6.914889,0.000000
cov161110.mps,8.940662,0.000000
cov16118.mps,2618.426785,0.000000
cov16119.mps,639.839142,0.000000
cov161210.mps,24.580698,0.000000
cov161211.mps,0.761882,0.000000
cov16129.mps,136.391935,0.000000
cov161310.mps,2.339190,0.000000
cov171210.mps,2944.608519,0.000000
cov171211.mps,30.177864,0.000000
