Instance,Partition Time,Fold LP Time,Solve ALP Time,Lift ALP Time,Solve ELP Time,Total Solve Time,OC Run Time,Objective
30_70_45_095_100.mps,0.022948,0.001570,12.225416,0.001232,0.021973,12.224073,12.269799,3.000000
ash608gpia-3col.mps,0.026380,0.001097,0.015744,0.000509,0.244527,0.237289,0.284378,2.000000
core2536-691.mps,0.034681,0.004108,4.440784,0.001543,0.011254,4.433729,4.487586,688.476034
core4872-1529.mps,0.047124,0.004965,26.760198,0.002034,0.036428,26.764044,26.844129,1509.718561
ex1010-pi.mps,0.032606,0.002559,4.441527,0.001314,0.025328,4.445179,4.497942,220.670087
ex9.mps,0.110226,0.005022,0.870547,0.005824,4.192826,4.999546,5.164416,81.000000
neos-1601936.mps,0.011723,0.001381,0.985416,0.000591,0.019868,0.991749,1.017895,1.000000
neos-1605061.mps,0.013145,0.002017,7.301662,0.000159,0.009871,7.294270,7.325580,6.150735
neos-1605075.mps,0.012729,0.001764,2.489757,0.000146,0.008922,2.483029,2.511906,3.214461
neos-476283.mps,0.383576,0.083311,1.494006,0.041185,0.246623,1.236624,2.248156,406.244708
neos-738098.mps,0.031765,0.001615,0.024570,0.002220,1.879521,1.872751,1.935607,-1099.000000
neos-932816.mps,0.086760,0.005571,0.335412,0.005391,0.428889,0.712556,0.850408,2285.500000
neos-935627.mps,0.015526,0.000861,1.033434,0.000535,5.231223,6.250490,6.279430,2598.000000
neos-935769.mps,0.014685,0.000753,0.634936,0.000451,1.011083,1.633614,1.660017,3010.000000
neos-937511.mps,0.016596,0.000967,0.824630,0.000582,1.606923,2.416268,2.447274,3510.000000
neos-937815.mps,0.017927,0.001132,2.109156,0.000495,1.962902,4.055564,4.088704,2837.000000
neos-941262.mps,0.014310,0.000871,1.649206,0.000323,0.721594,2.358123,2.384231,2790.500000
neos-948126.mps,0.015135,0.000859,1.764168,0.000458,1.464517,3.215290,3.242988,2602.000000
neos-984165.mps,0.014572,0.000779,1.461976,0.000403,1.535077,2.983491,3.010632,2186.000000
ns1606230.mps,0.013785,0.001882,9.313302,0.000150,0.007631,9.304710,9.335229,13.225000
ns1856153.mps,0.053630,0.002465,0.357618,0.002404,0.345757,0.670359,0.751124,0.000000
ns894236.mps,0.018922,0.001298,5.080457,0.000400,0.010258,5.075106,5.108407,12.305229
queens-30.mps,0.013165,0.000661,0.012158,0.000999,2.118574,2.117851,2.143734,-70.912689
ramos3.mps,0.004463,0.000199,0.001842,0.000760,6.872518,6.866483,6.878925,145.800000
t1717.mps,0.096381,0.005277,1.683529,0.005484,1.489339,3.140712,3.263188,134531.021428
t1722.mps,0.042309,0.002864,0.418815,0.002290,0.276146,0.679136,0.735637,98815.407611
