Instance,Column Reduction (%),Row Reduction (%),Nonzero Reduction (%)
30_70_45_095_100.mps,0.018220,0.015966,0.017152
ash608gpia-3col.mps,80.000000,66.669119,69.651485
core2536-691.mps,0.078452,1.888277,0.612103
core4872-1529.mps,1.122003,2.241696,1.720294
ex1010-pi.mps,13.793924,0.944669,6.493990
ex9.mps,79.602659,76.433136,75.916663
neos-1601936.mps,15.498850,10.098096,1.823005
neos-1605061.mps,1.727074,0.000000,0.075950
neos-1605075.mps,1.701414,0.000000,0.000000
neos-476283.mps,0.871460,0.458441,0.325464
neos-738098.mps,93.758865,95.664568,95.718554
neos-932816.mps,66.125751,69.745452,68.155585
neos-935627.mps,70.721649,65.831221,67.037128
neos-935769.mps,69.901288,61.083633,65.298751
neos-937511.mps,67.907892,60.214238,64.683914
neos-937815.mps,64.447562,60.489039,60.984957
neos-941262.mps,60.025496,53.650213,54.594796
neos-948126.mps,65.558783,60.770374,62.247639
neos-984165.mps,62.549801,57.461677,58.777548
ns1606230.mps,1.701414,0.000000,0.000000
ns1856153.mps,53.691998,49.256650,50.641267
ns894236.mps,2.162218,7.361889,2.437480
queens-30.mps,92.857143,93.103448,94.466486
ramos3.mps,99.977132,99.977132,99.997460
t1717.mps,78.065862,71.212121,74.081352
t1722.mps,75.567922,62.651934,70.804988
