Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.00015,0.04510,0.04612,0.05123
cod105,0.00024,0.38812,0.38956,0.40182
cod733,0.00021,0.87075,0.87254,0.88105
codbt161,0.00053,0.40847,0.41005,0.41585
codbt162,0.00017,0.90033,0.90210,0.92121
codbt163,0.00012,1.97536,1.97604,2.02608
codbt164,0.00013,2.77923,2.77997,2.86527
codbt171,0.00015,5.44527,5.44598,5.46454
codbt172,0.00010,177.43186,177.43252,177.50682
codbt173,0.00009,57.38424,57.38483,57.63222
codbt174,0.00012,83.11171,83.11243,83.74421
codbt251,0.00018,0.10878,0.10967,0.11441
codbt252,0.00018,0.31650,0.31753,0.32977
codbt261,0.00019,4.59174,4.59323,4.60580
codbt262,0.00014,45.76851,45.76988,45.81661
codbt342,0.00020,0.11060,0.11210,0.11903
codbt451,0.00014,9.54753,9.54905,9.56598
codbt452,0.00013,81.94699,81.94774,82.01168
codbt453,0.00017,39.41041,39.41132,39.59554
codbt531,0.00016,0.08015,0.08138,0.08462
codbt532,0.00022,0.39633,0.39794,0.40864
codbt721,0.00022,0.11976,0.12103,0.12698
codbt722,0.00038,0.41607,0.41828,0.43239
codbt731,0.00017,4.30859,4.30951,4.32613
codbt732,0.00010,12.87420,12.87480,12.92418
codbt812,0.00022,0.13078,0.13174,0.14107
codbt821,0.00025,0.64182,0.64355,0.65293
codbt822,0.00011,2.96189,2.96257,2.99345
codbt831,0.00008,74.56673,74.56747,74.60125
codbt832,0.00012,670.16178,670.16249,670.29229
cov1385,0.00024,0.23265,0.23436,0.24892
cov1386,0.00018,0.17628,0.17748,0.18774
cov1387,0.00021,0.03169,0.03288,0.03863
cov1396,0.00021,0.10338,0.10487,0.11940
cov14107,0.00013,0.43861,0.43943,0.46567
cov14108,0.00039,0.10147,0.10313,0.11435
cov1496,0.00015,2.74677,2.74751,2.78049
cov1497,0.00017,0.90047,0.90138,0.92106
cov1498,0.00022,0.09904,0.10038,0.10978
cov15107,0.00011,6.78110,6.78181,6.84522
cov15108,0.00012,1.62951,1.63022,1.66449
cov15109,0.00023,0.22319,0.22477,0.23720
cov151110,0.00022,0.03388,0.03514,0.04278
cov15118,0.00017,1.26696,1.26787,1.31246
cov15119,0.00043,0.20397,0.20551,0.22305
cov161110,0.00017,0.53975,0.54123,0.55811
cov16118,0.00011,52.04130,52.04196,52.18270
cov16119,0.00009,4.04044,4.04116,4.09896
cov161210,0.00011,0.38895,0.38967,0.41919
cov161211,0.00024,0.05980,0.06112,0.07064
cov16129,0.00011,2.72483,2.72554,2.80236
cov171210,0.00010,13.12318,13.12395,13.21152
cov171211,0.00013,1.18100,1.18192,1.21250
cov17129,0.00012,177.32542,177.32621,177.60545
cov171310,0.00016,9.56515,9.56588,9.68996
cov171311,0.00011,0.76974,0.77053,0.81567
cov171312,0.00044,0.11638,0.11816,0.12922
cov171411,0.00013,0.33589,0.33682,0.38628
sts729,0.00017,0.84933,0.85034,0.91086
