Instance,IPM solve,Crossover,Solve,Highs run
cod103,0.00264,0.00127,0.05273,0.05297
cod105,0.00809,0.51871,0.75293,0.75356
cod733,0.00709,1.53625,1.98171,1.98211
codbt161,0.00333,0.51021,0.76098,0.76130
codbt162,0.01251,0.00952,0.90616,0.91062
codbt163,0.02951,0.02095,2.03015,2.03223
codbt164,0.05398,0.03363,2.85776,2.86351
codbt171,0.01128,0.04000,5.48371,5.48428
codbt172,0.04161,147.72259,189.39070,189.39500
codbt173,0.16888,0.12366,60.31948,60.32917
codbt174,0.42920,0.22935,91.30185,91.32518
codbt251,0.00273,0.03843,0.26195,0.26218
codbt252,0.00842,0.00439,0.37614,0.37660
codbt261,0.00744,0.85521,2.61457,2.61504
codbt262,0.02408,44.64279,66.69460,66.69658
codbt342,0.00507,0.00192,0.12038,0.12065
codbt451,0.01048,12.04460,25.52990,25.53064
codbt452,0.03380,76.95632,149.32719,149.33008
codbt453,0.11183,0.12988,40.12275,40.13075
codbt531,0.00174,0.04063,0.16715,0.16735
codbt532,0.00664,0.25388,0.77315,0.77363
codbt721,0.00355,0.06391,0.14836,0.14859
codbt722,0.00849,0.00611,0.58862,0.58974
codbt731,0.00817,6.80773,13.44350,13.44399
codbt732,0.02650,0.05542,12.57138,12.57345
codbt812,0.00491,0.00225,0.13774,0.13835
codbt821,0.00665,0.31628,0.75724,0.75756
codbt822,0.01683,0.02488,3.11156,3.11266
codbt831,0.01570,137.19428,153.35741,153.35833
codbt832,0.06226,869.74490,978.85061,978.85476
cov1385,0.00976,0.00335,0.23267,0.23335
cov1386,0.00571,0.32696,0.40144,0.40183
cov1387,0.00365,0.11305,0.12822,0.12841
cov1396,0.00825,1.17824,1.22150,1.22197
cov14107,0.01301,7.21578,7.60453,7.60540
cov14108,0.00684,1.77740,1.94273,1.94317
cov1496,0.01799,4.73025,5.12480,5.12618
cov1497,0.01238,3.27795,3.38062,3.38144
cov1498,0.00493,0.51930,0.54135,0.54155
cov15107,0.03705,321.36873,322.76333,322.76639
cov15108,0.01729,98.54048,98.79853,98.79989
cov15109,0.00796,1.98640,2.01638,2.01675
cov151110,0.00476,0.27762,0.31551,0.31570
cov15118,0.02076,28.38178,28.48474,28.48656
cov15119,0.00994,6.22185,6.24248,6.24311
cov161110,0.01123,7.45157,7.50125,7.50180
cov16118,0.07440,1941.28937,1946.35628,1946.36202
cov16119,0.02649,478.02177,478.70331,478.70580
cov161210,0.01464,21.55164,21.58119,21.58223
cov161211,0.00657,0.68792,0.69948,0.69976
cov16129,0.03892,109.82427,109.92926,109.93259
cov171210,0.04755,2203.09558,2204.03268,2204.03584
cov171211,0.01713,24.99836,25.07370,25.07468
cov17129,0.00000,0.00000,3630.33982,3630.34860
cov171310,0.06928,446.98927,447.12307,447.12896
cov171311,0.02061,67.38873,67.42715,67.42855
cov171312,0.00957,1.82197,1.83646,1.83678
cov171411,0.02740,4.75585,4.82298,4.82583
sts729,0.05382,1.07891,1.15654,1.16067
