Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Major Iterations,Non Trivial Pivots,Total Pivots
cod103,0.00338,0.00024,0.00121,0.00093,0.23293,0.23414,0.23915,1,479,1023
cod105,0.00948,0.00047,0.00110,0.00090,0.59350,0.59459,0.60628,1,650,1023
cod733,0.00707,0.00051,0.00137,0.00144,1.74825,1.74962,1.75949,1,1799,2186
codbt161,0.00484,0.00034,0.00112,0.00104,0.83616,0.83728,0.84409,1,1109,1457
codbt162,0.01739,0.00065,0.00097,0.00263,3.36844,3.36941,3.39262,1,1154,1457
codbt163,0.04368,0.00130,0.00077,0.00314,4.73178,4.73255,4.78551,1,1051,1457
codbt164,0.07165,0.00210,0.00097,0.00568,3.53103,3.53200,3.62029,1,849,1457
codbt171,0.01681,0.00114,0.00091,0.00606,24.29706,24.29797,24.32380,3,3713,4373
codbt172,0.06519,0.00173,0.00074,0.01088,212.86922,212.86995,212.95517,3,3905,4229
codbt173,0.21242,0.00492,0.00078,0.02917,81.95793,81.95871,82.22567,3,3786,4373
codbt174,0.46929,0.02353,0.00107,0.06670,95.85947,95.86053,96.46793,3,3509,4373
codbt251,0.00280,0.00018,0.00069,0.00075,0.29016,0.29085,0.29503,1,603,971
codbt252,0.01047,0.00057,0.00102,0.00174,0.63617,0.63720,0.65124,1,564,971
codbt261,0.01037,0.00061,0.00110,0.00369,6.82080,6.82190,6.83785,2,1773,2861
codbt262,0.05504,0.00234,0.00112,0.00528,50.06655,50.06767,50.13492,2,2363,2899
codbt342,0.00552,0.00027,0.00109,0.00079,0.16835,0.16944,0.17663,1,370,647
codbt451,0.01318,0.00088,0.00096,0.00399,27.64785,27.64882,27.66825,2,2930,3887
codbt452,0.05308,0.00129,0.00079,0.00732,89.49352,89.49431,89.56185,2,3467,3840
codbt453,0.16308,0.00330,0.00081,0.02244,49.41683,49.41764,49.62243,3,3409,3887
codbt531,0.00247,0.00016,0.00092,0.00067,0.21667,0.21759,0.22126,1,531,863
codbt532,0.00777,0.00037,0.00131,0.00089,0.55022,0.55153,0.56126,1,504,863
codbt721,0.00299,0.00019,0.00063,0.00085,0.34982,0.35046,0.35490,1,840,1151
codbt722,0.01004,0.00049,0.00103,0.00147,1.57708,1.57811,1.59116,1,788,1151
codbt731,0.01330,0.00094,0.00111,0.00621,15.67300,15.67411,15.69622,3,2933,3387
codbt732,0.04168,0.00136,0.00072,0.00770,21.10688,21.10760,21.16253,3,3126,3455
codbt812,0.00745,0.00031,0.00135,0.00102,0.24883,0.25018,0.25967,1,475,767
codbt821,0.00761,0.00047,0.00112,0.00270,3.83224,3.83336,3.84520,2,1870,2303
codbt822,0.02503,0.00070,0.00074,0.00364,5.18684,5.18758,5.21910,2,1872,2303
codbt831,0.02533,0.00130,0.00069,0.01119,97.45436,97.45506,97.49574,4,6042,6692
codbt832,0.10183,0.00253,0.00079,0.02013,211.73412,211.73491,211.86842,4,6281,6592
cov1385,0.01164,0.00057,0.00120,0.00138,0.71735,0.71855,0.73350,1,750,1286
cov1386,0.00690,0.00040,0.00146,0.00115,0.56463,0.56609,0.57536,1,941,1286
cov1387,0.00303,0.00030,0.00156,0.00105,0.18915,0.19072,0.19561,1,834,1286
cov1396,0.01057,0.00050,0.00133,0.00128,0.25647,0.25780,0.27114,1,307,714
cov14107,0.02847,0.00112,0.00122,0.00389,0.76049,0.76171,0.79785,1,579,1000
cov14108,0.00805,0.00059,0.00111,0.00143,0.31824,0.31935,0.33031,1,681,1000
cov1496,0.02835,0.00087,0.00079,0.00433,4.11835,4.11914,4.15516,2,1531,2001
cov1497,0.01272,0.00076,0.00117,0.00397,2.76598,2.76715,2.78603,2,1614,2001
cov1498,0.00456,0.00042,0.00108,0.00236,0.30392,0.30500,0.31312,2,1028,2001
cov15107,0.05288,0.00188,0.00072,0.00733,18.98625,18.98697,19.05450,2,2483,3002
cov15108,0.02561,0.00086,0.00072,0.00753,10.10648,10.10720,10.14387,3,2201,3002
cov15109,0.00991,0.00074,0.00097,0.00459,0.86959,0.87056,0.88703,3,1402,3002
cov151110,0.00389,0.00031,0.00090,0.00268,0.04863,0.04952,0.05710,2,197,1364
cov15118,0.03662,0.00140,0.00078,0.00581,1.28244,1.28322,1.33151,2,983,1364
cov15119,0.01387,0.00073,0.00101,0.00356,0.57655,0.57756,0.59724,2,950,1364
cov161110,0.01402,0.00117,0.00095,0.00833,1.93986,1.94081,1.96608,4,2197,4367
cov16118,0.11496,0.00288,0.00068,0.01825,53.56968,53.57035,53.71927,3,3989,4367
cov16119,0.04732,0.00162,0.00083,0.01493,15.06340,15.06423,15.13314,4,3270,4367
cov161210,0.02237,0.00097,0.00070,0.00623,1.17044,1.17114,1.20315,2,1328,1819
cov161211,0.00715,0.00061,0.00122,0.00287,0.12403,0.12526,0.13686,2,528,1819
cov16129,0.09056,0.00278,0.00126,0.01482,3.87491,3.87617,3.99114,2,1408,1819
cov171210,0.07722,0.00264,0.00072,0.02991,37.94047,37.94119,38.06100,5,4878,6187
cov171211,0.02216,0.00148,0.00071,0.01667,2.38353,2.38424,2.42785,5,2168,6187
cov17129,0.22579,0.00420,0.00078,0.04323,181.70722,181.70799,182.00430,4,5748,6187
cov171310,0.11540,0.00310,0.00086,0.01483,10.59442,10.59529,10.73941,2,1942,2379
cov171311,0.03651,0.00123,0.00071,0.00766,3.11051,3.11123,3.16036,2,1404,2379
cov171312,0.00970,0.00081,0.00121,0.00302,0.21958,0.22079,0.23547,2,775,2379
cov171411,0.04116,0.00149,0.00072,0.00495,0.29561,0.29633,0.34886,1,289,679
sts729,0.02574,0.00443,0.00080,0.02616,0.28485,0.28565,0.35021,1,13,728
