Instance,Total Time,Objective
30_70_45_095_100.mps,14.189343,3.000000
ash608gpia-3col.mps,1.357061,2.000000
core2536-691.mps,4.286642,688.476034
core4872-1529.mps,29.290504,1509.718561
ex1010-pi.mps,24.020827,220.670087
ex9.mps,51.648832,81.000000
neos-1601936.mps,0.999524,1.000000
neos-1605061.mps,7.527548,6.150735
neos-1605075.mps,5.264316,3.214461
neos-476283.mps,1.395246,406.244708
neos-738098.mps,5.968677,-1099.000000
neos-932816.mps,4.204183,2285.500000
neos-935627.mps,6.772459,2598.000000
neos-935769.mps,4.191256,3010.000000
neos-937511.mps,6.115233,3510.000000
neos-937815.mps,7.729931,2837.000000
neos-941262.mps,13.180121,2790.500000
neos-948126.mps,13.919381,2602.000000
neos-984165.mps,12.685196,2186.000000
ns1606230.mps,8.764504,13.225000
ns1856153.mps,1.214746,0.000000
ns894236.mps,2.961121,12.305229
queens-30.mps,4.666901,-70.912689
ramos3.mps,50.612517,145.800000
t1717.mps,28.736276,134531.021428
t1722.mps,5.238145,98815.407611
