Instance,Partition Time,Fold Time,Folded Solve Time,Unfold Time,Total Time,Column Reduction (%),Row Reduction (%),Nonzero Reduction (%),Objective
30_70_45_095_100.mps,0.012538,0.002755,13.044729,0.015343,13.075366,0.009,0.008,0.011,3.000000
ash608gpia-3col.mps,0.015047,0.002823,0.010981,0.286157,0.315008,66.667,63.391,66.667,2.000000
core2536-691.mps,0.019432,0.005502,4.794951,0.007985,4.827869,0.059,1.772,0.607,688.476034
core4872-1529.mps,0.027159,0.007557,29.876240,0.031350,29.942306,0.994,1.600,1.677,1509.718561
ex1010-pi.mps,0.018408,0.004600,4.463684,0.021370,4.508061,13.746,0.000,6.456,220.670087
ex9.mps,0.064904,0.011026,0.883966,3.116611,4.076507,75.231,75.150,75.605,81.000000
neos-1601936.mps,0.007482,0.002529,1.109920,0.017085,1.137016,9.132,0.479,0.462,1.000000
neos-1605061.mps,0.008309,0.002467,8.316388,0.005755,8.332919,1.727,0.000,0.076,6.150735
neos-1605075.mps,0.009056,0.002824,2.678610,0.005465,2.695955,1.701,0.000,0.000,3.214461
neos-932816.mps,0.052196,0.011041,0.325294,0.365387,0.753918,64.326,68.650,67.936,2285.500000
neos-935627.mps,0.009828,0.002211,1.002081,0.866961,1.881081,62.780,53.684,60.211,2598.000000
neos-935769.mps,0.009290,0.001822,0.576195,0.415587,1.002893,63.282,48.643,59.143,3010.000000
neos-937511.mps,0.011341,-0.000504,0.748856,0.578507,1.338200,61.137,48.554,58.957,3510.000000
neos-937815.mps,0.012550,-0.000556,2.098946,0.786031,2.896970,56.483,49.346,54.625,2837.000000
neos-941262.mps,0.009559,0.001756,1.634998,0.324713,1.971026,53.692,43.264,48.857,2790.500000
neos-948126.mps,0.010123,0.001885,1.746137,0.573479,2.331625,57.795,49.154,55.868,2602.000000
neos-984165.mps,0.009933,0.001852,1.399957,0.501899,1.913641,54.497,45.791,52.349,2186.000000
ns1606230.mps,0.009069,0.002939,11.387780,0.005049,11.404838,1.701,0.000,0.000,13.225000
ns894236.mps,0.010111,0.002006,5.237886,0.005859,5.255862,2.162,7.362,2.437,12.305229
queens-30.mps,0.008147,0.001573,0.008402,3.099782,3.117904,86.667,87.500,94.328,-70.912689
ramos3.mps,0.002342,0.000839,0.000357,3.077473,3.081011,99.954,99.954,99.997,145.800000
t1717.mps,0.056888,0.010923,1.743165,1.728674,3.539650,77.661,0.000,73.756,134531.021428
t1722.mps,0.025725,0.005627,0.408405,0.220358,0.660115,75.190,0.000,70.432,98815.407611
